Strategy,Participant Id,NLL,mai_acc,mp_acc,pai_acc,Session,Tested w/ XAI,XAIType,sensitivity,k,retrieval_threshold,appId,scaling_factor,explanation_type
Sensitive-features categorization,67ebb067dca1f7cf408ca0bd,0.6590662334632713,0.6666666666666666,0.8333333333333334,0.7222222222222222,1,w/o XAI,importance,1.0,2,-2.234913453006779,wine_quality,,
Sensitive-features categorization,67f05ce092cdcc0392692398,0.6631637418098006,0.5,0.5,0.6666666666666666,1,w/o XAI,importance,4.083064049647552,4,-3.7956163375197094,wine_quality,,
Sensitive-features categorization,67e9793b509ebd40efb7f232,0.6469030204999262,0.5555555555555556,0.6666666666666666,0.5555555555555556,1,w/o XAI,importance,4.061896260732844,3,-2.427085965394821,wine_quality,,
Sensitive-features categorization,5f85bcb11941de066ef7d941,0.6350582063769551,0.6111111111111112,0.7222222222222222,0.5555555555555556,1,w/o XAI,importance,3.139332714169412,5,-4.0,wine_quality,,
Sensitive-features categorization,680d5bc560f189075035787c,0.6931471803599453,0.5,0.2222222222222222,0.3888888888888889,1,w/o XAI,attribution,52.07078055713665,3,-0.7413886208729057,wine_quality,,
Sensitive-features categorization,67e0e4d8556191648cf0bb6d,0.5775316313613941,0.5555555555555556,0.6666666666666666,0.7777777777777778,1,w/o XAI,attribution,1.0,1,-2.681285217997027,wine_quality,,
Sensitive-features categorization,66dba70d72b3d26e23c755df,0.6816492957209299,0.5,0.6111111111111112,0.5555555555555556,1,w/o XAI,attribution,1.0,1,-1.531811235507409,wine_quality,,
Sensitive-features categorization,636da58a0d76bbb9167dbf3e,0.5501086841639128,0.8333333333333334,0.7222222222222222,0.6666666666666666,1,w/o XAI,attribution,14.182032143147746,4,-2.452857515001225,forest_cover,,
Sensitive-features categorization,67ef8c6bf0eff27d92180ffe,0.5199366124579786,0.6666666666666666,0.7777777777777778,0.6666666666666666,1,w/o XAI,importance,4.583212299371937,1,-1.8819996998904656,wine_quality,,
Sensitive-features categorization,6314bc49055e150c92f4736e,0.475223405562087,0.5,0.6666666666666666,0.7222222222222222,1,w/o XAI,importance,7.3373814970516245,2,-2.554530937827642,forest_cover,,
Sensitive-features categorization,67e5566b1168a1cd37250362,0.568017431459244,0.6666666666666666,0.7777777777777778,0.4444444444444444,1,w/o XAI,attribution,2.238753064040419,1,-3.7848762103032207,forest_cover,,
Sensitive-features categorization,5a53d878acc75b000179e52e,0.14178072541251535,0.6666666666666666,0.9444444444444444,0.6111111111111112,1,w/o XAI,importance,31.454396937138714,3,-2.4001991928662663,forest_cover,,
Sensitive-features categorization,67e268cbf13dcd115337894c,0.6931471803599453,0.5,0.4444444444444444,0.5,1,w/o XAI,attribution,21.855573955230877,4,-0.9396844133428983,forest_cover,,
Sensitive-features categorization,6813da744902baf71269402d,0.6931471803599453,0.5,0.6111111111111112,0.4444444444444444,1,w/o XAI,attribution,1.0,1,-0.5,wine_quality,,
Sensitive-features categorization,6766c25793c13fc95c767574,0.578745906164559,0.5,0.7222222222222222,0.5555555555555556,1,w/o XAI,attribution,8.37602537169083,5,-1.4661294955331692,forest_cover,,
Sensitive-features categorization,67ed4e79983b8a8ba5517548,0.4264254119312516,0.6111111111111112,0.5555555555555556,0.8333333333333334,1,w/o XAI,attribution,100.0,5,-1.9426559043564784,wine_quality,,
Sensitive-features categorization,67faf61829e07433820ec62d,0.4317746046430424,0.4444444444444444,0.8333333333333334,0.5,1,w/o XAI,attribution,12.619004696614752,3,-1.2245431378219793,forest_cover,,
Sensitive-features categorization,67e490097896ae803bd5629f,0.1158946365466618,0.7777777777777778,0.9444444444444444,0.7222222222222222,1,w/o XAI,importance,14.951707055365137,1,-3.2725022741436023,forest_cover,,
Sensitive-features categorization,67363452674f3db8059e7888,0.5334203091196331,0.5555555555555556,0.8333333333333334,0.5,1,w/o XAI,attribution,9.3790088814005,5,-4.0,wine_quality,,
