Strategy,Participant Id,NLL,mai_acc,mp_acc,pai_acc,Session,Tested w/ XAI,XAIType,sensitivity,k,retrieval_threshold,appId,scaling_factor,explanation_type
Sensitive-features categorization,67ebb067dca1f7cf408ca0bd,0.43028758091792774,0.8333333333333334,0.7222222222222222,0.8888888888888888,2,w/ XAI,importance,12.234839043606824,4,-3.113332192464043,wine_quality,,
Sensitive-features categorization,67f05ce092cdcc0392692398,0.5822006279267944,0.8333333333333334,0.6666666666666666,0.6111111111111112,2,w/ XAI,importance,4.386784898722917,3,-3.5181343178889626,wine_quality,,
Sensitive-features categorization,67e9793b509ebd40efb7f232,0.6647569719571531,0.5555555555555556,0.6666666666666666,0.5555555555555556,2,w/ XAI,importance,1.0,5,-1.7659320855844824,wine_quality,,
Sensitive-features categorization,5f85bcb11941de066ef7d941,0.5787988423886513,0.5555555555555556,0.6111111111111112,0.8333333333333334,2,w/ XAI,importance,100.0,3,-1.685794114863584,wine_quality,,
Sensitive-features categorization,67ef8c6bf0eff27d92180ffe,0.263769010113593,0.7222222222222222,0.7777777777777778,0.7222222222222222,2,w/ XAI,importance,15.30872583162703,2,-2.0126955154251407,wine_quality,,
Sensitive-features categorization,6314bc49055e150c92f4736e,0.3931376066560412,0.6666666666666666,0.7777777777777778,0.8888888888888888,2,w/ XAI,importance,23.487126280866672,1,-2.1754162815404885,forest_cover,,
Sensitive-features categorization,5a53d878acc75b000179e52e,0.613345304094786,0.5555555555555556,0.6666666666666666,0.6666666666666666,2,w/ XAI,importance,1.0,1,-1.8291801389418043,forest_cover,,
Sensitive-features categorization,67e490097896ae803bd5629f,0.5233861785852559,0.5555555555555556,0.7222222222222222,0.6111111111111112,2,w/ XAI,importance,5.844517991870162,4,-3.2627452792821736,forest_cover,,
Sensitive-features categorization,660b2346862ff2a3da9cfe3e,0.34511238533786254,0.5555555555555556,0.7777777777777778,0.5555555555555556,2,w/ XAI,importance,9.922649965605029,2,-2.729456572898818,forest_cover,,
Sensitive-features categorization,6647847aebad277cab0e44a9,0.12316190302727893,0.7777777777777778,0.8888888888888888,0.6666666666666666,2,w/ XAI,importance,43.46561997337591,2,-3.8212258685381104,wine_quality,,
Sensitive-features categorization,67ebf19f98ff3e509e425e58,0.391804408761124,0.6111111111111112,0.6666666666666666,0.8333333333333334,2,w/ XAI,importance,100.0,5,-2.380620057016006,wine_quality,,
Sensitive-features categorization,676a24c4766af0941f2060db,0.5958037070269905,0.8888888888888888,0.6666666666666666,0.6666666666666666,2,w/ XAI,importance,7.8265343320343,5,-4.0,wine_quality,,
Sensitive-features categorization,66d0a375c1c8aa9cac493997,0.264873268549053,1.0,0.9444444444444444,0.9444444444444444,2,w/ XAI,importance,16.837988759716325,3,-1.5434951076922174,wine_quality,,
Sensitive-features categorization,67cf4b70e6b8ec5652552042,0.1878450538139229,0.7777777777777778,0.8333333333333334,0.6111111111111112,2,w/ XAI,importance,47.82923176382034,3,-1.7186896135321486,wine_quality,,
Sensitive-features categorization,67ebcd26fcd7c2ee469b8533,0.5419883633222793,0.8333333333333334,0.7777777777777778,0.7222222222222222,2,w/ XAI,importance,5.6825387766923185,3,-4.0,wine_quality,,
Sensitive-features categorization,61705235c277934df17055e6,0.47556775603728263,0.5,0.8333333333333334,0.6666666666666666,2,w/ XAI,importance,1.0,1,-1.8098305175270455,forest_cover,,
Sensitive-features categorization,677d8ca02a50ccdc47145568,0.6830352639552131,0.6666666666666666,0.5555555555555556,0.5555555555555556,2,w/ XAI,importance,1.0,2,-2.472157485669635,forest_cover,,
Sensitive-features categorization,66ea6bd034571ff4a00f2171,0.48109160808246393,0.7222222222222222,0.7777777777777778,0.9444444444444444,2,w/ XAI,importance,20.741925135863713,2,-2.7294481834077766,forest_cover,,
Sensitive-features categorization,660982bb12941e7442c18325,0.0968510213461776,0.7777777777777778,1.0,0.7777777777777778,2,w/ XAI,importance,65.36651389428864,1,-4.0,forest_cover,,
Sensitive-features categorization,67e319a39b381704d5521583,0.6931471803599453,0.5,0.5,0.6666666666666666,2,w/ XAI,importance,63.578736924342074,3,-0.6815432345101855,forest_cover,,
Sensitive-features categorization,67e6e99634be5e57bbd2553f,0.33782245712493153,0.8888888888888888,0.8333333333333334,0.7222222222222222,2,w/ XAI,importance,7.0532553788075685,2,-2.869914599467322,forest_cover,,
Sensitive-features categorization,664cd1c6545aa0f362493dd9,0.5911316158155222,0.7222222222222222,0.7222222222222222,0.7777777777777778,2,w/ XAI,importance,3.866965528821171,1,-4.0,forest_cover,,
Sensitive-features categorization,67d3a5a498212eae9b9ce364,0.6631869296427085,0.5,0.6666666666666666,0.6111111111111112,2,w/ XAI,importance,1.0,1,-3.502061778679368,forest_cover,,
Sensitive-features categorization,666149cb6a138209b157427b,0.1581754357389418,0.6111111111111112,0.8888888888888888,0.7222222222222222,2,w/ XAI,importance,100.0,3,-4.0,forest_cover,,
Sensitive-features categorization,673ef080255f15b49aa84f96,0.007639020330395725,0.5,1.0,0.5,2,w/ XAI,importance,93.17139898535864,4,-2.9206711926301,forest_cover,,
Sensitive-features categorization,67f03733938aa3f0d17ce8a8,0.665087273073366,0.6111111111111112,0.6666666666666666,0.5,2,w/ XAI,importance,14.605165419235673,1,-1.7271471963119245,forest_cover,,
Sensitive-features categorization,66817654ce8b233327b047ab,0.053681464516925306,0.6666666666666666,1.0,0.6666666666666666,2,w/ XAI,importance,53.40557291431938,2,-1.9062707056947987,wine_quality,,
Sensitive-features categorization,680ebf035ab59d342f31726e,0.6931471803599453,0.5,0.3888888888888889,0.5555555555555556,2,w/ XAI,importance,81.44305395192545,4,-0.5639162764093482,wine_quality,,
Sensitive-features categorization,6173f88147c86baff6963073,0.5853335375467705,0.6111111111111112,0.5555555555555556,0.7222222222222222,2,w/ XAI,importance,7.196842819327483,4,-1.9024270243882961,wine_quality,,
Sensitive-features categorization,6942b9546065aeb7e30fd87a,0.43363158589090534,0.8888888888888888,0.8333333333333334,0.8333333333333334,2,w/ XAI,importance,10.32398570255646,4,-3.284171330459396,wine_quality,,
Sensitive-features categorization,673da0360d57d15b3f3a0593,0.6931471803599453,0.5,0.6111111111111112,0.3333333333333333,2,w/ XAI,importance,1.0,5,-0.5,wine_quality,,
Sensitive-features categorization,6941706e8a7385da28bcb5e2,0.013956558068107309,0.8333333333333334,1.0,0.8333333333333334,2,w/ XAI,importance,92.12765513564918,4,-2.591386116313182,wine_quality,,
Sensitive-features categorization,676435babb44367362b10f73,0.6900088435578298,0.5555555555555556,0.5555555555555556,0.5555555555555556,2,w/ XAI,importance,1.0,4,-1.8469512234950076,wine_quality,,
Sensitive-features categorization,69418fce57bf6c0cd6730ef9,0.6240908984022487,0.8888888888888888,0.6666666666666666,0.5555555555555556,2,w/ XAI,importance,2.792875541598449,2,-4.0,wine_quality,,
Sensitive-features categorization,691fda8adedca50e985f0c90,0.3861464419367222,0.8888888888888888,0.8888888888888888,0.8888888888888888,2,w/ XAI,importance,15.017546910479622,5,-4.0,wine_quality,,
Sensitive-features categorization,6941aeb9a019a9bbdd57d028,0.16426337026235482,0.9444444444444444,0.9444444444444444,1.0,2,w/ XAI,importance,20.54728814831159,4,-2.1889030081283973,wine_quality,,
Sensitive-features categorization,6943448de0ba4e96ec5a82d7,0.6321473524080699,0.9444444444444444,0.6111111111111112,0.6666666666666666,2,w/ XAI,importance,3.0805324531039453,2,-3.851823324752233,wine_quality,,
Sensitive-features categorization,66fcdc229c37d1da9d61017c,0.6312805857738696,0.8888888888888888,0.6111111111111112,0.7222222222222222,2,w/ XAI,importance,1.0,1,-2.9346525889434036,wine_quality,,
Sensitive-features categorization,64d6aac54b2cf0b742d6dc67,0.6931471803599453,0.5,0.4444444444444444,0.3888888888888889,2,w/ XAI,importance,15.173455661867326,3,-0.5905874551076211,wine_quality,,
