appId,a0,v0_min,v0_max,a1,v1_min,v1_max,a2,v2_min,v2_max,a3,v3_min,v3_max,a4,v4_min,v4_max,a5,v5_options,v5_0,v5_1,a6,v6_options,v6_0,v6_1,a7,v7_options,v7_0,v7_1,a8,v8_options,v8_0,v8_1,a9,v9_options,v9_0,y,y0,y1,v5_max,v5_min,v6_max,v6_min,v7_max,v7_min,v8_max,v8_min,v9_max,v9_min
wine_quality_iter1,Alcohol,9.2,12.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,quality,Type 1,Type 2,,,,,,,,,,
wine_quality_iter2,Vinegar Taint,0.27,0.84,Alcohol,9.2,12.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,quality,Type 1,Type 2,,,,,,,,,,
wine_quality_iter3,Vinegar Taint,0.27,0.84,Sulphates,0.47,0.93,Alcohol,9.2,12.5,,,,,,,,,,,,,,,,,,,,,,,,,,quality,Type 1,Type 2,,,,,,,,,,
wine_quality_iter4,Vinegar Taint,0.27,0.84,pH,3.06,3.57,Sulphates,0.47,0.93,Alcohol,9.2,12.5,,,,,,,,,,,,,,,,,,,,,,,quality,Type 1,Type 2,,,,,,,,,,
wine_quality_iter5,Vinegar Taint,0.27,0.84,SO2,11.0,112.09999999999992,pH,3.06,3.57,Sulphates,0.47,0.93,Alcohol,9.2,12.5,,,,,,,,,,,,,,,,,,,,quality,Type 1,Type 2,,,,,,,,,,
wine_quality_iter6,Vinegar Taint,0.27,0.84,citric acid,0.0,0.6,SO2,11.0,112.09999999999992,pH,3.06,3.57,Sulphates,0.47,0.93,Alcohol,,,,,,,,,,,,,,,,,,,quality,Type 1,Type 2,12.5,9.2,,,,,,,,
wine_quality_iter7,Vinegar Taint,0.27,0.84,citric acid,0.0,0.6,chlorides,0.054,0.1260999999999999,SO2,11.0,112.09999999999992,pH,3.06,3.57,Sulphates,,,,Alcohol,,,,,,,,,,,,,,,quality,Type 1,Type 2,0.93,0.47,12.5,9.2,,,,,,
wine_quality_iter8,Vinegar Taint,0.27,0.84,citric acid,0.0,0.6,chlorides,0.054,0.1260999999999999,SO2,11.0,112.09999999999992,density,0.993598,1.0,pH,,,,Sulphates,,,,Alcohol,,,,,,,,,,,quality,Type 1,Type 2,3.57,3.06,0.93,0.47,12.5,9.2,,,,
wine_quality_iter9,Vinegar Taint,0.27,0.84,citric acid,0.0,0.6,residual sugar,1.5900000000000007,5.1,chlorides,0.054,0.1260999999999999,SO2,11.0,112.09999999999992,density,,,,pH,,,,Sulphates,,,,Alcohol,,,,,,,quality,Type 1,Type 2,1.0,0.993598,3.57,3.06,0.93,0.47,12.5,9.2,,
wine_quality_iter10,Vinegar Taint,0.27,0.84,citric acid,0.0,0.6,residual sugar,1.5900000000000007,5.1,chlorides,0.054,0.1260999999999999,free sulfur dioxide,4.0,35.0,SO2,,,,density,,,,pH,,,,Sulphates,,,,Alcohol,,,quality,Type 1,Type 2,112.09999999999992,11.0,1.0,0.993598,3.57,3.06,0.93,0.47,12.5,9.2
forest_cover_iter1,Elevation,2050.0,2688.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cover_Type,Spruce/Fir,Lodgepole Pine,,,,,,,,,,
forest_cover_iter2,Elevation,2050.0,2688.0,Aspect,17.0,344.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cover_Type,Spruce/Fir,Lodgepole Pine,,,,,,,,,,
forest_cover_iter3,Elevation,2050.0,2688.0,Aspect,17.0,344.0,Horizontal_Distance_To_Hydrology,0.0,474.0,,,,,,,,,,,,,,,,,,,,,,,,,,Cover_Type,Spruce/Fir,Lodgepole Pine,,,,,,,,,,
forest_cover_iter4,Elevation,2050.0,2688.0,Aspect,17.0,344.0,Horizontal_Distance_To_Hydrology,0.0,474.0,Horizontal_Distance_To_Roadways,162.0,2155.0,,,,,,,,,,,,,,,,,,,,,,,Cover_Type,Spruce/Fir,Lodgepole Pine,,,,,,,,,,
forest_cover_iter5,Elevation,2050.0,2688.0,Aspect,17.0,344.0,Horizontal_Distance_To_Hydrology,0.0,474.0,Horizontal_Distance_To_Roadways,162.0,2155.0,Hillshade_9am,126.0,251.0,,,,,,,,,,,,,,,,,,,,Cover_Type,Spruce/Fir,Lodgepole Pine,,,,,,,,,,
forest_cover_iter6,Elevation,2050.0,2688.0,Aspect,17.0,344.0,Slope,6.0,36.0,Horizontal_Distance_To_Hydrology,0.0,474.0,Horizontal_Distance_To_Roadways,162.0,2155.0,Hillshade_9am,,,,,,,,,,,,,,,,,,,Cover_Type,Spruce/Fir,Lodgepole Pine,251.0,126.0,,,,,,,,
forest_cover_iter7,Elevation,2050.0,2688.0,Aspect,17.0,344.0,Slope,6.0,36.0,Horizontal_Distance_To_Hydrology,0.0,474.0,Vertical_Distance_To_Hydrology,-3.0,178.0,Horizontal_Distance_To_Roadways,,,,Hillshade_9am,,,,,,,,,,,,,,,Cover_Type,Spruce/Fir,Lodgepole Pine,2155.0,162.0,251.0,126.0,,,,,,
forest_cover_iter8,Elevation,2050.0,2688.0,Aspect,17.0,344.0,Slope,6.0,36.0,Horizontal_Distance_To_Hydrology,0.0,474.0,Vertical_Distance_To_Hydrology,-3.0,178.0,Horizontal_Distance_To_Roadways,,,,Hillshade_9am,,,,Hillshade_Noon,,,,,,,,,,,Cover_Type,Spruce/Fir,Lodgepole Pine,2155.0,162.0,251.0,126.0,251.0,162.0,,,,
