appId,instanceId,v0,v1,v2,v3,v4,v5,v6,v7,v8,v9,y
wine_quality_iter10,0,10.5,0.42,0.66,2.95,0.1159999999999999,12.0,29.0,3.24,0.75,11.7,1
wine_quality_iter10,1,9.3,0.33,0.45,1.5,0.057,19.0,37.0,3.18,0.89,11.1,1
wine_quality_iter10,2,9.6,0.5,0.36,2.8,0.1159999999999999,26.0,55.0,3.18,0.68,10.9,0
wine_quality_iter10,3,11.1,0.42,0.47,2.65,0.085,9.0,34.0,3.24,0.77,12.1,1
wine_quality_iter10,4,8.7,0.41,0.41,6.2,0.078,25.0,42.0,3.24,0.77,12.6,1
wine_quality_iter10,5,11.9,0.57,0.5,2.6,0.0819999999999999,6.0,32.0,3.12,0.78,10.7,0
wine_quality_iter10,6,10.0,0.41,0.45,6.2,0.071,6.0,14.0,3.21,0.49,11.8,1
wine_quality_iter10,7,6.1,0.48,0.09,1.7,0.078,18.0,30.0,3.45,0.54,11.2,0
wine_quality_iter10,8,9.1,0.3,0.34,2.0,0.064,12.0,25.0,3.26,0.84,11.7,1
wine_quality_iter10,9,11.6,0.53,0.66,3.65,0.121,6.0,14.0,3.05,0.74,11.5,1
wine_quality_iter10,10,7.8,0.5,0.3,1.9,0.075,8.0,22.0,3.31,0.56,10.4,0
wine_quality_iter10,11,7.7,0.58,0.01,1.8,0.088,12.0,18.0,3.32,0.56,10.5,1
wine_quality_iter10,12,11.3,0.62,0.67,5.2,0.086,6.0,19.0,3.22,0.69,13.4,1
wine_quality_iter10,13,10.1,0.31,0.35,1.6,0.075,9.0,28.0,3.24,0.83,11.2,1
wine_quality_iter10,14,10.5,0.24,0.47,2.1,0.066,6.0,24.0,3.15,0.9,11.0,1
wine_quality_iter10,15,7.5,0.63,0.27,2.0,0.083,17.0,91.0,3.26,0.58,9.8,0
wine_quality_iter10,16,10.2,0.34,0.48,2.1,0.052,5.0,9.0,3.2,0.69,12.1,1
wine_quality_iter10,17,6.6,0.735,0.02,7.9,0.122,68.0,124.0,3.47,0.53,9.9,0
wine_quality_iter10,18,8.3,0.31,0.39,2.4,0.078,17.0,43.0,3.31,0.77,12.5,1
wine_quality_iter10,19,8.0,0.58,0.16,2.0,0.12,3.0,7.0,3.22,0.58,11.2,0
wine_quality_iter10,20,8.6,0.42,0.39,1.8,0.068,6.0,12.0,3.35,0.69,11.7,1
wine_quality_iter10,21,5.6,0.605,0.05,2.4,0.073,19.0,25.0,3.56,0.55,12.9,0
wine_quality_iter10,22,11.6,0.41,0.54,1.5,0.095,22.0,41.0,3.02,0.76,9.9,1
wine_quality_iter10,23,11.0,0.3,0.58,2.1,0.054,7.0,19.0,3.31,0.88,10.5,1
wine_quality_iter10,24,6.0,0.5,0.0,1.4,0.057,15.0,26.0,3.36,0.45,9.5,0
wine_quality_iter10,25,7.1,0.71,0.0,1.9,0.08,14.0,35.0,3.47,0.55,9.4,0
wine_quality_iter10,26,7.0,0.58,0.28,4.8,0.085,12.0,69.0,3.32,0.7,11.0,0
wine_quality_iter10,27,10.1,0.43,0.4,2.6,0.092,13.0,52.0,3.22,0.64,10.0,1
wine_quality_iter10,28,10.4,0.33,0.63,2.8,0.084,5.0,22.0,3.26,0.74,11.2,1
wine_quality_iter10,29,7.6,0.49,0.33,1.9,0.074,27.0,85.0,3.41,0.58,9.0,0
wine_quality_iter10,30,8.7,0.52,0.09,2.5,0.091,20.0,49.0,3.34,0.86,10.6,1
wine_quality_iter10,31,8.3,0.26,0.42,2.0,0.08,11.0,27.0,3.21,0.8,9.4,0
wine_quality_iter10,32,6.8,0.83,0.09,1.8,0.074,4.0,25.0,3.38,0.45,9.6,0
wine_quality_iter10,33,7.0,0.69,0.07,2.5,0.091,15.0,21.0,3.38,0.6,11.3,0
wine_quality_iter10,34,9.4,0.41,0.48,4.6,0.072,10.0,20.0,3.34,0.79,12.2,1
wine_quality_iter10,35,12.8,0.615,0.66,5.8,0.083,7.0,42.0,3.07,0.73,10.0,1
wine_quality_iter10,36,7.3,0.48,0.32,2.1,0.062,31.0,54.0,3.3,0.65,10.0,1
wine_quality_iter10,37,8.0,0.67,0.3,2.0,0.06,38.0,62.0,3.26,0.56,10.2,0
wine_quality_iter10,38,7.6,0.42,0.08,2.7,0.084,15.0,48.0,3.21,0.59,10.0,0
wine_quality_iter10,39,7.8,0.39,0.42,2.0,0.086,9.0,21.0,3.39,0.66,11.6,0
wine_quality_iter10,40,7.7,0.69,0.05,2.7,0.075,15.0,27.0,3.26,0.61,9.1,0
wine_quality_iter10,41,8.3,0.3,0.49,3.8,0.09,11.0,24.0,3.27,0.64,12.1,1
wine_quality_iter10,42,7.0,0.5,0.25,2.0,0.07,3.0,22.0,3.25,0.63,9.2,0
wine_quality_iter10,43,7.3,0.66,0.0,2.0,0.084,6.0,23.0,3.61,0.96,9.9,0
wine_quality_iter10,44,7.8,0.645,0.0,5.5,0.086,5.0,18.0,3.4,0.55,9.6,0
wine_quality_iter10,45,15.6,0.685,0.76,3.7,0.1,6.0,43.0,2.95,0.68,11.2,1
wine_quality_iter10,46,6.5,0.53,0.06,2.0,0.063,29.0,44.0,3.38,0.83,10.3,0
wine_quality_iter10,47,9.9,0.4,0.53,6.7,0.0969999999999999,6.0,19.0,3.27,0.82,11.7,1
wine_quality_iter10,48,7.2,0.63,0.0,1.9,0.0969999999999999,14.0,38.0,3.37,0.58,9.0,0
wine_quality_iter10,49,7.4,0.29,0.38,1.7,0.062,9.0,30.0,3.41,0.53,9.5,0
wine_quality_iter10,50,7.5,0.38,0.48,2.6,0.073,22.0,84.0,3.32,0.7,9.6,0
wine_quality_iter10,51,12.7,0.59,0.45,2.3,0.0819999999999999,11.0,22.0,3.0,0.7,9.3,0
wine_quality_iter10,52,7.5,0.5,0.36,6.1,0.071,17.0,102.0,3.35,0.8,10.5,0
wine_quality_iter10,53,5.3,0.57,0.01,1.7,0.054,5.0,27.0,3.57,0.84,12.5,1
wine_quality_iter10,54,9.6,0.33,0.52,2.2,0.074,13.0,25.0,3.36,0.76,12.4,1
wine_quality_iter10,55,11.4,0.625,0.66,6.2,0.088,6.0,24.0,3.11,0.99,13.3,0
wine_quality_iter10,56,8.9,0.28,0.45,1.7,0.067,7.0,12.0,3.25,0.55,12.3,1
wine_quality_iter10,57,9.8,0.66,0.39,3.2,0.083,21.0,59.0,3.37,0.71,11.5,1
wine_quality_iter10,58,12.0,0.28,0.49,1.9,0.074,10.0,21.0,2.98,0.66,9.9,1
wine_quality_iter10,59,8.9,0.4,0.32,5.6,0.087,10.0,47.0,3.38,0.77,10.5,1
wine_quality_iter10,60,10.7,0.52,0.38,2.6,0.066,29.0,56.0,3.15,0.79,12.1,1
wine_quality_iter10,61,8.0,0.81,0.25,3.4,0.076,34.0,85.0,3.19,0.42,9.2,0
wine_quality_iter10,62,9.9,0.5,0.5,13.8,0.205,48.0,82.0,3.16,0.75,8.8,0
wine_quality_iter10,63,9.3,0.37,0.44,1.6,0.038,21.0,42.0,3.24,0.81,10.8,1
wine_quality_iter10,64,8.0,0.59,0.16,1.8,0.065,3.0,16.0,3.42,0.92,10.5,1
wine_quality_iter10,65,8.0,0.42,0.17,2.0,0.073,6.0,18.0,3.29,0.61,9.2,0
wine_quality_iter10,66,7.2,0.48,0.07,5.5,0.089,10.0,18.0,3.37,0.68,11.2,1
wine_quality_iter10,67,9.2,0.52,1.0,3.4,0.61,32.0,69.0,2.74,2.0,9.4,0
wine_quality_iter10,68,8.3,0.28,0.48,2.1,0.093,6.0,12.0,3.26,0.62,12.4,1
wine_quality_iter10,69,8.9,0.12,0.45,1.8,0.075,10.0,21.0,3.41,0.76,11.9,1
wine_quality_iter10,70,7.9,0.31,0.32,1.9,0.066,14.0,36.0,3.41,0.56,12.6,0
wine_quality_iter10,71,7.8,0.58,0.02,2.0,0.073,9.0,18.0,3.36,0.57,9.5,1
wine_quality_iter10,72,7.6,0.43,0.31,2.1,0.069,13.0,74.0,3.26,0.54,9.9,0
wine_quality_iter10,73,7.9,0.3,0.68,8.3,0.05,37.5,289.0,3.01,0.51,12.3,1
wine_quality_iter10,74,12.4,0.4,0.51,2.0,0.059,6.0,24.0,3.04,0.6,9.3,0
wine_quality_iter10,75,7.6,0.55,0.21,2.2,0.071,7.0,28.0,3.28,0.55,9.7,0
wine_quality_iter10,76,8.5,0.585,0.18,2.1,0.078,5.0,30.0,3.2,0.48,9.8,0
wine_quality_iter10,77,8.4,0.25,0.39,2.0,0.0409999999999999,4.0,10.0,3.27,0.71,12.5,1
wine_quality_iter10,78,9.2,0.63,0.21,2.7,0.0969999999999999,29.0,65.0,3.28,0.58,9.6,0
wine_quality_iter10,79,7.5,0.52,0.16,1.9,0.085,12.0,35.0,3.38,0.62,9.5,1
wine_quality_iter10,80,7.2,0.37,0.32,2.0,0.062,15.0,28.0,3.23,0.73,11.3,1
wine_quality_iter10,81,9.4,0.27,0.53,2.4,0.074,6.0,18.0,3.2,1.13,12.0,1
