appId,instanceId,v0,v1,v2,y
wine_quality_iter3,0,0.42,3.24,11.7,1
wine_quality_iter3,1,0.33,3.18,11.1,1
wine_quality_iter3,2,0.5,3.18,10.9,0
wine_quality_iter3,3,0.42,3.24,12.1,1
wine_quality_iter3,4,0.41,3.24,12.6,1
wine_quality_iter3,5,0.57,3.12,10.7,0
wine_quality_iter3,6,0.41,3.21,11.8,1
wine_quality_iter3,7,0.48,3.45,11.2,0
wine_quality_iter3,8,0.3,3.26,11.7,1
wine_quality_iter3,9,0.53,3.05,11.5,1
wine_quality_iter3,10,0.5,3.31,10.4,0
wine_quality_iter3,11,0.58,3.32,10.5,1
wine_quality_iter3,12,0.62,3.22,13.4,1
wine_quality_iter3,13,0.31,3.24,11.2,1
wine_quality_iter3,14,0.24,3.15,11.0,1
wine_quality_iter3,15,0.63,3.26,9.8,0
wine_quality_iter3,16,0.34,3.2,12.1,1
wine_quality_iter3,17,0.735,3.47,9.9,0
wine_quality_iter3,18,0.31,3.31,12.5,1
wine_quality_iter3,19,0.58,3.22,11.2,0
wine_quality_iter3,20,0.42,3.35,11.7,1
wine_quality_iter3,21,0.605,3.56,12.9,0
wine_quality_iter3,22,0.41,3.02,9.9,1
wine_quality_iter3,23,0.3,3.31,10.5,1
wine_quality_iter3,24,0.5,3.36,9.5,0
wine_quality_iter3,25,0.71,3.47,9.4,0
wine_quality_iter3,26,0.58,3.32,11.0,0
wine_quality_iter3,27,0.43,3.22,10.0,1
wine_quality_iter3,28,0.33,3.26,11.2,1
wine_quality_iter3,29,0.49,3.41,9.0,0
wine_quality_iter3,30,0.52,3.34,10.6,1
wine_quality_iter3,31,0.26,3.21,9.4,0
wine_quality_iter3,32,0.83,3.38,9.6,0
wine_quality_iter3,33,0.69,3.38,11.3,0
wine_quality_iter3,34,0.41,3.34,12.2,1
wine_quality_iter3,35,0.615,3.07,10.0,1
wine_quality_iter3,36,0.48,3.3,10.0,1
wine_quality_iter3,37,0.67,3.26,10.2,0
wine_quality_iter3,38,0.42,3.21,10.0,0
wine_quality_iter3,39,0.39,3.39,11.6,0
wine_quality_iter3,40,0.69,3.26,9.1,0
wine_quality_iter3,41,0.3,3.27,12.1,1
wine_quality_iter3,42,0.5,3.25,9.2,0
wine_quality_iter3,43,0.66,3.61,9.9,0
wine_quality_iter3,44,0.645,3.4,9.6,0
wine_quality_iter3,45,0.685,2.95,11.2,1
wine_quality_iter3,46,0.53,3.38,10.3,0
wine_quality_iter3,47,0.4,3.27,11.7,1
wine_quality_iter3,48,0.63,3.37,9.0,0
wine_quality_iter3,49,0.29,3.41,9.5,0
wine_quality_iter3,50,0.38,3.32,9.6,0
wine_quality_iter3,51,0.59,3.0,9.3,0
wine_quality_iter3,52,0.5,3.35,10.5,0
wine_quality_iter3,53,0.57,3.57,12.5,1
wine_quality_iter3,54,0.33,3.36,12.4,1
wine_quality_iter3,55,0.625,3.11,13.3,0
wine_quality_iter3,56,0.28,3.25,12.3,1
wine_quality_iter3,57,0.66,3.37,11.5,1
wine_quality_iter3,58,0.28,2.98,9.9,1
wine_quality_iter3,59,0.4,3.38,10.5,1
wine_quality_iter3,60,0.52,3.15,12.1,1
wine_quality_iter3,61,0.81,3.19,9.2,0
wine_quality_iter3,62,0.5,3.16,8.8,0
wine_quality_iter3,63,0.37,3.24,10.8,1
wine_quality_iter3,64,0.59,3.42,10.5,1
wine_quality_iter3,65,0.42,3.29,9.2,0
wine_quality_iter3,66,0.48,3.37,11.2,1
wine_quality_iter3,67,0.52,2.74,9.4,0
wine_quality_iter3,68,0.28,3.26,12.4,1
wine_quality_iter3,69,0.12,3.41,11.9,1
wine_quality_iter3,70,0.31,3.41,12.6,0
wine_quality_iter3,71,0.58,3.36,9.5,1
wine_quality_iter3,72,0.43,3.26,9.9,0
wine_quality_iter3,73,0.3,3.01,12.3,1
wine_quality_iter3,74,0.4,3.04,9.3,0
wine_quality_iter3,75,0.55,3.28,9.7,0
wine_quality_iter3,76,0.585,3.2,9.8,0
wine_quality_iter3,77,0.25,3.27,12.5,1
wine_quality_iter3,78,0.63,3.28,9.6,0
wine_quality_iter3,79,0.52,3.38,9.5,1
wine_quality_iter3,80,0.37,3.23,11.3,1
wine_quality_iter3,81,0.27,3.2,12.0,1
wine_quality_iter3,82,0.12,3.41,11.9,1
wine_quality_iter3,83,0.38,3.12,11.8,1
wine_quality_iter3,84,0.59,3.28,9.9,0
wine_quality_iter3,85,0.37,3.17,11.2,1
wine_quality_iter3,86,0.56,3.26,9.9,0
wine_quality_iter3,87,0.44,3.06,13.4,0
wine_quality_iter3,88,0.38,3.2,9.4,0
wine_quality_iter3,89,0.59,3.31,9.8,0
wine_quality_iter3,90,0.815,3.58,12.3,1
wine_quality_iter3,91,0.21,3.23,11.1,1
wine_quality_iter3,92,0.82,3.2,9.8,0
wine_quality_iter3,93,0.3,3.14,11.5,1
wine_quality_iter3,94,0.27,3.25,9.9,1
wine_quality_iter3,95,0.725,3.29,9.2,0
wine_quality_iter3,96,0.785,3.16,9.56666666666667,0
wine_quality_iter3,97,0.27,3.38,10.6,0
wine_quality_iter3,98,0.47,3.54,13.6,1
wine_quality_iter3,99,0.28,3.33,12.8,1
wine_quality_iter3,100,0.34,3.27,11.2,1
