appId,instanceId,v0,v1,v2,v3,y
wine_quality_iter4,0,0.42,3.24,0.75,11.7,1
wine_quality_iter4,1,0.33,3.18,0.89,11.1,1
wine_quality_iter4,2,0.5,3.18,0.68,10.9,0
wine_quality_iter4,3,0.42,3.24,0.77,12.1,1
wine_quality_iter4,4,0.41,3.24,0.77,12.6,1
wine_quality_iter4,5,0.57,3.12,0.78,10.7,0
wine_quality_iter4,6,0.41,3.21,0.49,11.8,1
wine_quality_iter4,7,0.48,3.45,0.54,11.2,0
wine_quality_iter4,8,0.3,3.26,0.84,11.7,1
wine_quality_iter4,9,0.53,3.05,0.74,11.5,1
wine_quality_iter4,10,0.5,3.31,0.56,10.4,0
wine_quality_iter4,11,0.58,3.32,0.56,10.5,1
wine_quality_iter4,12,0.62,3.22,0.69,13.4,1
wine_quality_iter4,13,0.31,3.24,0.83,11.2,1
wine_quality_iter4,14,0.24,3.15,0.9,11.0,1
wine_quality_iter4,15,0.63,3.26,0.58,9.8,0
wine_quality_iter4,16,0.34,3.2,0.69,12.1,1
wine_quality_iter4,17,0.735,3.47,0.53,9.9,0
wine_quality_iter4,18,0.31,3.31,0.77,12.5,1
wine_quality_iter4,19,0.58,3.22,0.58,11.2,0
wine_quality_iter4,20,0.42,3.35,0.69,11.7,1
wine_quality_iter4,21,0.605,3.56,0.55,12.9,0
wine_quality_iter4,22,0.41,3.02,0.76,9.9,1
wine_quality_iter4,23,0.3,3.31,0.88,10.5,1
wine_quality_iter4,24,0.5,3.36,0.45,9.5,0
wine_quality_iter4,25,0.71,3.47,0.55,9.4,0
wine_quality_iter4,26,0.58,3.32,0.7,11.0,0
wine_quality_iter4,27,0.43,3.22,0.64,10.0,1
wine_quality_iter4,28,0.33,3.26,0.74,11.2,1
wine_quality_iter4,29,0.49,3.41,0.58,9.0,0
wine_quality_iter4,30,0.52,3.34,0.86,10.6,1
wine_quality_iter4,31,0.26,3.21,0.8,9.4,0
wine_quality_iter4,32,0.83,3.38,0.45,9.6,0
wine_quality_iter4,33,0.69,3.38,0.6,11.3,0
wine_quality_iter4,34,0.41,3.34,0.79,12.2,1
wine_quality_iter4,35,0.615,3.07,0.73,10.0,1
wine_quality_iter4,36,0.48,3.3,0.65,10.0,1
wine_quality_iter4,37,0.67,3.26,0.56,10.2,0
wine_quality_iter4,38,0.42,3.21,0.59,10.0,0
wine_quality_iter4,39,0.39,3.39,0.66,11.6,0
wine_quality_iter4,40,0.69,3.26,0.61,9.1,0
wine_quality_iter4,41,0.3,3.27,0.64,12.1,1
wine_quality_iter4,42,0.5,3.25,0.63,9.2,0
wine_quality_iter4,43,0.66,3.61,0.96,9.9,0
wine_quality_iter4,44,0.645,3.4,0.55,9.6,0
wine_quality_iter4,45,0.685,2.95,0.68,11.2,1
wine_quality_iter4,46,0.53,3.38,0.83,10.3,0
wine_quality_iter4,47,0.4,3.27,0.82,11.7,1
wine_quality_iter4,48,0.63,3.37,0.58,9.0,0
wine_quality_iter4,49,0.29,3.41,0.53,9.5,0
wine_quality_iter4,50,0.38,3.32,0.7,9.6,0
wine_quality_iter4,51,0.59,3.0,0.7,9.3,0
wine_quality_iter4,52,0.5,3.35,0.8,10.5,0
wine_quality_iter4,53,0.57,3.57,0.84,12.5,1
wine_quality_iter4,54,0.33,3.36,0.76,12.4,1
wine_quality_iter4,55,0.625,3.11,0.99,13.3,0
wine_quality_iter4,56,0.28,3.25,0.55,12.3,1
wine_quality_iter4,57,0.66,3.37,0.71,11.5,1
wine_quality_iter4,58,0.28,2.98,0.66,9.9,1
wine_quality_iter4,59,0.4,3.38,0.77,10.5,1
wine_quality_iter4,60,0.52,3.15,0.79,12.1,1
wine_quality_iter4,61,0.81,3.19,0.42,9.2,0
wine_quality_iter4,62,0.5,3.16,0.75,8.8,0
wine_quality_iter4,63,0.37,3.24,0.81,10.8,1
wine_quality_iter4,64,0.59,3.42,0.92,10.5,1
wine_quality_iter4,65,0.42,3.29,0.61,9.2,0
wine_quality_iter4,66,0.48,3.37,0.68,11.2,1
wine_quality_iter4,67,0.52,2.74,2.0,9.4,0
wine_quality_iter4,68,0.28,3.26,0.62,12.4,1
wine_quality_iter4,69,0.12,3.41,0.76,11.9,1
wine_quality_iter4,70,0.31,3.41,0.56,12.6,0
wine_quality_iter4,71,0.58,3.36,0.57,9.5,1
wine_quality_iter4,72,0.43,3.26,0.54,9.9,0
wine_quality_iter4,73,0.3,3.01,0.51,12.3,1
wine_quality_iter4,74,0.4,3.04,0.6,9.3,0
wine_quality_iter4,75,0.55,3.28,0.55,9.7,0
wine_quality_iter4,76,0.585,3.2,0.48,9.8,0
wine_quality_iter4,77,0.25,3.27,0.71,12.5,1
wine_quality_iter4,78,0.63,3.28,0.58,9.6,0
wine_quality_iter4,79,0.52,3.38,0.62,9.5,1
wine_quality_iter4,80,0.37,3.23,0.73,11.3,1
wine_quality_iter4,81,0.27,3.2,1.13,12.0,1
wine_quality_iter4,82,0.12,3.41,0.76,11.9,1
wine_quality_iter4,83,0.38,3.12,0.65,11.8,1
wine_quality_iter4,84,0.59,3.28,0.52,9.9,0
wine_quality_iter4,85,0.37,3.17,0.81,11.2,1
wine_quality_iter4,86,0.56,3.26,0.52,9.9,0
wine_quality_iter4,87,0.44,3.06,0.66,13.4,0
wine_quality_iter4,88,0.38,3.2,0.56,9.4,0
wine_quality_iter4,89,0.59,3.31,0.71,9.8,0
wine_quality_iter4,90,0.815,3.58,0.89,12.3,1
wine_quality_iter4,91,0.21,3.23,0.58,11.1,1
wine_quality_iter4,92,0.82,3.2,0.58,9.8,0
wine_quality_iter4,93,0.3,3.14,0.57,11.5,1
wine_quality_iter4,94,0.27,3.25,1.08,9.9,1
wine_quality_iter4,95,0.725,3.29,0.54,9.2,0
wine_quality_iter4,96,0.785,3.16,0.52,9.56666666666667,0
wine_quality_iter4,97,0.27,3.38,0.72,10.6,0
wine_quality_iter4,98,0.47,3.54,0.88,13.6,1
wine_quality_iter4,99,0.28,3.33,0.7,12.8,1
wine_quality_iter4,100,0.34,3.27,0.54,11.2,1
wine_quality_iter4,101,0.51,3.09,0.66,11.8,1
wine_quality_iter4,102,0.395,3.27,0.64,12.2,1
wine_quality_iter4,103,0.915,3.35,0.65,10.2,1
wine_quality_iter4,104,0.32,3.17,0.55,10.4,0
wine_quality_iter4,105,0.28,3.15,0.67,10.6,1
wine_quality_iter4,106,0.53,3.5,0.67,11.0,0
wine_quality_iter4,107,0.585,3.56,0.94,12.9,1
wine_quality_iter4,108,0.41,3.42,1.16,10.6,0
wine_quality_iter4,109,0.4,3.32,0.9,13.4,1
wine_quality_iter4,110,0.41,3.02,0.76,9.9,1
wine_quality_iter4,111,0.7,3.32,0.6,9.0,0
wine_quality_iter4,112,0.43,3.42,0.71,10.5,0
wine_quality_iter4,113,0.24,3.14,0.59,11.3,1
wine_quality_iter4,114,0.4,3.28,0.49,11.3,1
wine_quality_iter4,115,0.32,3.33,0.78,11.0,1
wine_quality_iter4,116,0.32,3.2,0.78,9.6,0
wine_quality_iter4,117,0.31,3.33,0.86,12.0,1
wine_quality_iter4,118,0.58,3.27,0.72,9.6,0
wine_quality_iter4,119,0.67,3.42,0.72,11.1,0
wine_quality_iter4,120,0.63,3.32,0.54,9.5,0
wine_quality_iter4,121,0.68,3.5,0.7,9.9,0
