appId,instanceId,v0,v1,v2,v3,v4,y
wine_quality_iter5,0,0.42,29.0,3.24,0.75,11.7,1
wine_quality_iter5,1,0.33,37.0,3.18,0.89,11.1,1
wine_quality_iter5,2,0.5,55.0,3.18,0.68,10.9,0
wine_quality_iter5,3,0.42,34.0,3.24,0.77,12.1,1
wine_quality_iter5,4,0.41,42.0,3.24,0.77,12.6,1
wine_quality_iter5,5,0.57,32.0,3.12,0.78,10.7,0
wine_quality_iter5,6,0.41,14.0,3.21,0.49,11.8,1
wine_quality_iter5,7,0.48,30.0,3.45,0.54,11.2,0
wine_quality_iter5,8,0.3,25.0,3.26,0.84,11.7,1
wine_quality_iter5,9,0.53,14.0,3.05,0.74,11.5,1
wine_quality_iter5,10,0.5,22.0,3.31,0.56,10.4,0
wine_quality_iter5,11,0.58,18.0,3.32,0.56,10.5,1
wine_quality_iter5,12,0.62,19.0,3.22,0.69,13.4,1
wine_quality_iter5,13,0.31,28.0,3.24,0.83,11.2,1
wine_quality_iter5,14,0.24,24.0,3.15,0.9,11.0,1
wine_quality_iter5,15,0.63,91.0,3.26,0.58,9.8,0
wine_quality_iter5,16,0.34,9.0,3.2,0.69,12.1,1
wine_quality_iter5,17,0.735,124.0,3.47,0.53,9.9,0
wine_quality_iter5,18,0.31,43.0,3.31,0.77,12.5,1
wine_quality_iter5,19,0.58,7.0,3.22,0.58,11.2,0
wine_quality_iter5,20,0.42,12.0,3.35,0.69,11.7,1
wine_quality_iter5,21,0.605,25.0,3.56,0.55,12.9,0
wine_quality_iter5,22,0.41,41.0,3.02,0.76,9.9,1
wine_quality_iter5,23,0.3,19.0,3.31,0.88,10.5,1
wine_quality_iter5,24,0.5,26.0,3.36,0.45,9.5,0
wine_quality_iter5,25,0.71,35.0,3.47,0.55,9.4,0
wine_quality_iter5,26,0.58,69.0,3.32,0.7,11.0,0
wine_quality_iter5,27,0.43,52.0,3.22,0.64,10.0,1
wine_quality_iter5,28,0.33,22.0,3.26,0.74,11.2,1
wine_quality_iter5,29,0.49,85.0,3.41,0.58,9.0,0
wine_quality_iter5,30,0.52,49.0,3.34,0.86,10.6,1
wine_quality_iter5,31,0.26,27.0,3.21,0.8,9.4,0
wine_quality_iter5,32,0.83,25.0,3.38,0.45,9.6,0
wine_quality_iter5,33,0.69,21.0,3.38,0.6,11.3,0
wine_quality_iter5,34,0.41,20.0,3.34,0.79,12.2,1
wine_quality_iter5,35,0.615,42.0,3.07,0.73,10.0,1
wine_quality_iter5,36,0.48,54.0,3.3,0.65,10.0,1
wine_quality_iter5,37,0.67,62.0,3.26,0.56,10.2,0
wine_quality_iter5,38,0.42,48.0,3.21,0.59,10.0,0
wine_quality_iter5,39,0.39,21.0,3.39,0.66,11.6,0
wine_quality_iter5,40,0.69,27.0,3.26,0.61,9.1,0
wine_quality_iter5,41,0.3,24.0,3.27,0.64,12.1,1
wine_quality_iter5,42,0.5,22.0,3.25,0.63,9.2,0
wine_quality_iter5,43,0.66,23.0,3.61,0.96,9.9,0
wine_quality_iter5,44,0.645,18.0,3.4,0.55,9.6,0
wine_quality_iter5,45,0.685,43.0,2.95,0.68,11.2,1
wine_quality_iter5,46,0.53,44.0,3.38,0.83,10.3,0
wine_quality_iter5,47,0.4,19.0,3.27,0.82,11.7,1
wine_quality_iter5,48,0.63,38.0,3.37,0.58,9.0,0
wine_quality_iter5,49,0.29,30.0,3.41,0.53,9.5,0
wine_quality_iter5,50,0.38,84.0,3.32,0.7,9.6,0
wine_quality_iter5,51,0.59,22.0,3.0,0.7,9.3,0
wine_quality_iter5,52,0.5,102.0,3.35,0.8,10.5,0
wine_quality_iter5,53,0.57,27.0,3.57,0.84,12.5,1
wine_quality_iter5,54,0.33,25.0,3.36,0.76,12.4,1
wine_quality_iter5,55,0.625,24.0,3.11,0.99,13.3,0
wine_quality_iter5,56,0.28,12.0,3.25,0.55,12.3,1
wine_quality_iter5,57,0.66,59.0,3.37,0.71,11.5,1
wine_quality_iter5,58,0.28,21.0,2.98,0.66,9.9,1
wine_quality_iter5,59,0.4,47.0,3.38,0.77,10.5,1
wine_quality_iter5,60,0.52,56.0,3.15,0.79,12.1,1
wine_quality_iter5,61,0.81,85.0,3.19,0.42,9.2,0
wine_quality_iter5,62,0.5,82.0,3.16,0.75,8.8,0
wine_quality_iter5,63,0.37,42.0,3.24,0.81,10.8,1
wine_quality_iter5,64,0.59,16.0,3.42,0.92,10.5,1
wine_quality_iter5,65,0.42,18.0,3.29,0.61,9.2,0
wine_quality_iter5,66,0.48,18.0,3.37,0.68,11.2,1
wine_quality_iter5,67,0.52,69.0,2.74,2.0,9.4,0
wine_quality_iter5,68,0.28,12.0,3.26,0.62,12.4,1
wine_quality_iter5,69,0.12,21.0,3.41,0.76,11.9,1
wine_quality_iter5,70,0.31,36.0,3.41,0.56,12.6,0
wine_quality_iter5,71,0.58,18.0,3.36,0.57,9.5,1
wine_quality_iter5,72,0.43,74.0,3.26,0.54,9.9,0
wine_quality_iter5,73,0.3,289.0,3.01,0.51,12.3,1
wine_quality_iter5,74,0.4,24.0,3.04,0.6,9.3,0
wine_quality_iter5,75,0.55,28.0,3.28,0.55,9.7,0
wine_quality_iter5,76,0.585,30.0,3.2,0.48,9.8,0
wine_quality_iter5,77,0.25,10.0,3.27,0.71,12.5,1
wine_quality_iter5,78,0.63,65.0,3.28,0.58,9.6,0
wine_quality_iter5,79,0.52,35.0,3.38,0.62,9.5,1
wine_quality_iter5,80,0.37,28.0,3.23,0.73,11.3,1
wine_quality_iter5,81,0.27,18.0,3.2,1.13,12.0,1
wine_quality_iter5,82,0.12,21.0,3.41,0.76,11.9,1
wine_quality_iter5,83,0.38,10.0,3.12,0.65,11.8,1
wine_quality_iter5,84,0.59,104.0,3.28,0.52,9.9,0
wine_quality_iter5,85,0.37,19.0,3.17,0.81,11.2,1
wine_quality_iter5,86,0.56,100.0,3.26,0.52,9.9,0
wine_quality_iter5,87,0.44,24.0,3.06,0.66,13.4,0
wine_quality_iter5,88,0.38,119.0,3.2,0.56,9.4,0
wine_quality_iter5,89,0.59,71.0,3.31,0.71,9.8,0
wine_quality_iter5,90,0.815,34.0,3.58,0.89,12.3,1
wine_quality_iter5,91,0.21,10.0,3.23,0.58,11.1,1
wine_quality_iter5,92,0.82,48.0,3.2,0.58,9.8,0
wine_quality_iter5,93,0.3,9.0,3.14,0.57,11.5,1
wine_quality_iter5,94,0.27,10.0,3.25,1.08,9.9,1
wine_quality_iter5,95,0.725,79.0,3.29,0.54,9.2,0
wine_quality_iter5,96,0.785,98.0,3.16,0.52,9.56666666666667,0
wine_quality_iter5,97,0.27,25.0,3.38,0.72,10.6,0
wine_quality_iter5,98,0.47,89.0,3.54,0.88,13.6,1
wine_quality_iter5,99,0.28,10.0,3.33,0.7,12.8,1
wine_quality_iter5,100,0.34,10.0,3.27,0.54,11.2,1
wine_quality_iter5,101,0.51,15.0,3.09,0.66,11.8,1
wine_quality_iter5,102,0.395,10.0,3.27,0.64,12.2,1
wine_quality_iter5,103,0.915,23.0,3.35,0.65,10.2,1
wine_quality_iter5,104,0.32,19.0,3.17,0.55,10.4,0
wine_quality_iter5,105,0.28,32.0,3.15,0.67,10.6,1
wine_quality_iter5,106,0.53,31.0,3.5,0.67,11.0,0
wine_quality_iter5,107,0.585,86.0,3.56,0.94,12.9,1
wine_quality_iter5,108,0.41,54.0,3.42,1.16,10.6,0
wine_quality_iter5,109,0.4,27.0,3.32,0.9,13.4,1
wine_quality_iter5,110,0.41,41.0,3.02,0.76,9.9,1
wine_quality_iter5,111,0.7,15.0,3.32,0.6,9.0,0
wine_quality_iter5,112,0.43,128.0,3.42,0.71,10.5,0
