appId,instanceId,v0,v1,v2,v3,v4,v5,y
wine_quality_iter6,0,0.42,2.95,29.0,3.24,0.75,11.7,1
wine_quality_iter6,1,0.33,1.5,37.0,3.18,0.89,11.1,1
wine_quality_iter6,2,0.5,2.8,55.0,3.18,0.68,10.9,0
wine_quality_iter6,3,0.42,2.65,34.0,3.24,0.77,12.1,1
wine_quality_iter6,4,0.41,6.2,42.0,3.24,0.77,12.6,1
wine_quality_iter6,5,0.57,2.6,32.0,3.12,0.78,10.7,0
wine_quality_iter6,6,0.41,6.2,14.0,3.21,0.49,11.8,1
wine_quality_iter6,7,0.48,1.7,30.0,3.45,0.54,11.2,0
wine_quality_iter6,8,0.3,2.0,25.0,3.26,0.84,11.7,1
wine_quality_iter6,9,0.53,3.65,14.0,3.05,0.74,11.5,1
wine_quality_iter6,10,0.5,1.9,22.0,3.31,0.56,10.4,0
wine_quality_iter6,11,0.58,1.8,18.0,3.32,0.56,10.5,1
wine_quality_iter6,12,0.62,5.2,19.0,3.22,0.69,13.4,1
wine_quality_iter6,13,0.31,1.6,28.0,3.24,0.83,11.2,1
wine_quality_iter6,14,0.24,2.1,24.0,3.15,0.9,11.0,1
wine_quality_iter6,15,0.63,2.0,91.0,3.26,0.58,9.8,0
wine_quality_iter6,16,0.34,2.1,9.0,3.2,0.69,12.1,1
wine_quality_iter6,17,0.735,7.9,124.0,3.47,0.53,9.9,0
wine_quality_iter6,18,0.31,2.4,43.0,3.31,0.77,12.5,1
wine_quality_iter6,19,0.58,2.0,7.0,3.22,0.58,11.2,0
wine_quality_iter6,20,0.42,1.8,12.0,3.35,0.69,11.7,1
wine_quality_iter6,21,0.605,2.4,25.0,3.56,0.55,12.9,0
wine_quality_iter6,22,0.41,1.5,41.0,3.02,0.76,9.9,1
wine_quality_iter6,23,0.3,2.1,19.0,3.31,0.88,10.5,1
wine_quality_iter6,24,0.5,1.4,26.0,3.36,0.45,9.5,0
wine_quality_iter6,25,0.71,1.9,35.0,3.47,0.55,9.4,0
wine_quality_iter6,26,0.58,4.8,69.0,3.32,0.7,11.0,0
wine_quality_iter6,27,0.43,2.6,52.0,3.22,0.64,10.0,1
wine_quality_iter6,28,0.33,2.8,22.0,3.26,0.74,11.2,1
wine_quality_iter6,29,0.49,1.9,85.0,3.41,0.58,9.0,0
wine_quality_iter6,30,0.52,2.5,49.0,3.34,0.86,10.6,1
wine_quality_iter6,31,0.26,2.0,27.0,3.21,0.8,9.4,0
wine_quality_iter6,32,0.83,1.8,25.0,3.38,0.45,9.6,0
wine_quality_iter6,33,0.69,2.5,21.0,3.38,0.6,11.3,0
wine_quality_iter6,34,0.41,4.6,20.0,3.34,0.79,12.2,1
wine_quality_iter6,35,0.615,5.8,42.0,3.07,0.73,10.0,1
wine_quality_iter6,36,0.48,2.1,54.0,3.3,0.65,10.0,1
wine_quality_iter6,37,0.67,2.0,62.0,3.26,0.56,10.2,0
wine_quality_iter6,38,0.42,2.7,48.0,3.21,0.59,10.0,0
wine_quality_iter6,39,0.39,2.0,21.0,3.39,0.66,11.6,0
wine_quality_iter6,40,0.69,2.7,27.0,3.26,0.61,9.1,0
wine_quality_iter6,41,0.3,3.8,24.0,3.27,0.64,12.1,1
wine_quality_iter6,42,0.5,2.0,22.0,3.25,0.63,9.2,0
wine_quality_iter6,43,0.66,2.0,23.0,3.61,0.96,9.9,0
wine_quality_iter6,44,0.645,5.5,18.0,3.4,0.55,9.6,0
wine_quality_iter6,45,0.685,3.7,43.0,2.95,0.68,11.2,1
wine_quality_iter6,46,0.53,2.0,44.0,3.38,0.83,10.3,0
wine_quality_iter6,47,0.4,6.7,19.0,3.27,0.82,11.7,1
wine_quality_iter6,48,0.63,1.9,38.0,3.37,0.58,9.0,0
wine_quality_iter6,49,0.29,1.7,30.0,3.41,0.53,9.5,0
wine_quality_iter6,50,0.38,2.6,84.0,3.32,0.7,9.6,0
wine_quality_iter6,51,0.59,2.3,22.0,3.0,0.7,9.3,0
wine_quality_iter6,52,0.5,6.1,102.0,3.35,0.8,10.5,0
wine_quality_iter6,53,0.57,1.7,27.0,3.57,0.84,12.5,1
wine_quality_iter6,54,0.33,2.2,25.0,3.36,0.76,12.4,1
wine_quality_iter6,55,0.625,6.2,24.0,3.11,0.99,13.3,0
wine_quality_iter6,56,0.28,1.7,12.0,3.25,0.55,12.3,1
wine_quality_iter6,57,0.66,3.2,59.0,3.37,0.71,11.5,1
wine_quality_iter6,58,0.28,1.9,21.0,2.98,0.66,9.9,1
wine_quality_iter6,59,0.4,5.6,47.0,3.38,0.77,10.5,1
wine_quality_iter6,60,0.52,2.6,56.0,3.15,0.79,12.1,1
wine_quality_iter6,61,0.81,3.4,85.0,3.19,0.42,9.2,0
wine_quality_iter6,62,0.5,13.8,82.0,3.16,0.75,8.8,0
wine_quality_iter6,63,0.37,1.6,42.0,3.24,0.81,10.8,1
wine_quality_iter6,64,0.59,1.8,16.0,3.42,0.92,10.5,1
wine_quality_iter6,65,0.42,2.0,18.0,3.29,0.61,9.2,0
wine_quality_iter6,66,0.48,5.5,18.0,3.37,0.68,11.2,1
wine_quality_iter6,67,0.52,3.4,69.0,2.74,2.0,9.4,0
wine_quality_iter6,68,0.28,2.1,12.0,3.26,0.62,12.4,1
wine_quality_iter6,69,0.12,1.8,21.0,3.41,0.76,11.9,1
wine_quality_iter6,70,0.31,1.9,36.0,3.41,0.56,12.6,0
wine_quality_iter6,71,0.58,2.0,18.0,3.36,0.57,9.5,1
wine_quality_iter6,72,0.43,2.1,74.0,3.26,0.54,9.9,0
wine_quality_iter6,73,0.3,8.3,289.0,3.01,0.51,12.3,1
wine_quality_iter6,74,0.4,2.0,24.0,3.04,0.6,9.3,0
wine_quality_iter6,75,0.55,2.2,28.0,3.28,0.55,9.7,0
wine_quality_iter6,76,0.585,2.1,30.0,3.2,0.48,9.8,0
wine_quality_iter6,77,0.25,2.0,10.0,3.27,0.71,12.5,1
wine_quality_iter6,78,0.63,2.7,65.0,3.28,0.58,9.6,0
wine_quality_iter6,79,0.52,1.9,35.0,3.38,0.62,9.5,1
wine_quality_iter6,80,0.37,2.0,28.0,3.23,0.73,11.3,1
wine_quality_iter6,81,0.27,2.4,18.0,3.2,1.13,12.0,1
wine_quality_iter6,82,0.12,1.8,21.0,3.41,0.76,11.9,1
wine_quality_iter6,83,0.38,2.1,10.0,3.12,0.65,11.8,1
wine_quality_iter6,84,0.59,2.0,104.0,3.28,0.52,9.9,0
wine_quality_iter6,85,0.37,2.3,19.0,3.17,0.81,11.2,1
wine_quality_iter6,86,0.56,2.0,100.0,3.26,0.52,9.9,0
wine_quality_iter6,87,0.44,4.1,24.0,3.06,0.66,13.4,0
wine_quality_iter6,88,0.38,3.0,119.0,3.2,0.56,9.4,0
wine_quality_iter6,89,0.59,3.4,71.0,3.31,0.71,9.8,0
wine_quality_iter6,90,0.815,2.7,34.0,3.58,0.89,12.3,1
wine_quality_iter6,91,0.21,1.6,10.0,3.23,0.58,11.1,1
wine_quality_iter6,92,0.82,1.2,48.0,3.2,0.58,9.8,0
wine_quality_iter6,93,0.3,1.7,9.0,3.14,0.57,11.5,1
wine_quality_iter6,94,0.27,3.5,10.0,3.25,1.08,9.9,1
wine_quality_iter6,95,0.725,7.8,79.0,3.29,0.54,9.2,0
wine_quality_iter6,96,0.785,5.2,98.0,3.16,0.52,9.56666666666667,0
wine_quality_iter6,97,0.27,2.1,25.0,3.38,0.72,10.6,0
wine_quality_iter6,98,0.47,2.2,89.0,3.54,0.88,13.6,1
wine_quality_iter6,99,0.28,2.4,10.0,3.33,0.7,12.8,1
wine_quality_iter6,100,0.34,1.9,10.0,3.27,0.54,11.2,1
wine_quality_iter6,101,0.51,2.4,15.0,3.09,0.66,11.8,1
wine_quality_iter6,102,0.395,4.6,10.0,3.27,0.64,12.2,1
wine_quality_iter6,103,0.915,2.2,23.0,3.35,0.65,10.2,1
wine_quality_iter6,104,0.32,2.0,19.0,3.17,0.55,10.4,0
wine_quality_iter6,105,0.28,1.7,32.0,3.15,0.67,10.6,1
wine_quality_iter6,106,0.53,3.9,31.0,3.5,0.67,11.0,0
wine_quality_iter6,107,0.585,1.7,86.0,3.56,0.94,12.9,1
wine_quality_iter6,108,0.41,2.8,54.0,3.42,1.16,10.6,0
wine_quality_iter6,109,0.4,2.6,27.0,3.32,0.9,13.4,1
wine_quality_iter6,110,0.41,1.5,41.0,3.02,0.76,9.9,1
wine_quality_iter6,111,0.7,2.5,15.0,3.32,0.6,9.0,0
wine_quality_iter6,112,0.43,5.5,128.0,3.42,0.71,10.5,0
wine_quality_iter6,113,0.24,1.7,27.0,3.14,0.59,11.3,1
wine_quality_iter6,114,0.4,3.6,29.0,3.28,0.49,11.3,1
wine_quality_iter6,115,0.32,2.7,17.0,3.33,0.78,11.0,1
wine_quality_iter6,116,0.32,2.2,15.0,3.2,0.78,9.6,0
wine_quality_iter6,117,0.31,2.2,31.0,3.33,0.86,12.0,1
wine_quality_iter6,118,0.58,2.0,21.0,3.27,0.72,9.6,0
wine_quality_iter6,119,0.67,2.2,24.0,3.42,0.72,11.1,0
wine_quality_iter6,120,0.63,1.9,27.0,3.32,0.54,9.5,0
wine_quality_iter6,121,0.68,1.8,39.0,3.5,0.7,9.9,0
