appId,instanceId,v0,v1,v2,v3,v4,v5,v6,y
wine_quality_iter7,0,10.5,0.42,2.95,29.0,3.24,0.75,11.7,1
wine_quality_iter7,1,9.3,0.33,1.5,37.0,3.18,0.89,11.1,1
wine_quality_iter7,2,9.6,0.5,2.8,55.0,3.18,0.68,10.9,0
wine_quality_iter7,3,11.1,0.42,2.65,34.0,3.24,0.77,12.1,1
wine_quality_iter7,4,8.7,0.41,6.2,42.0,3.24,0.77,12.6,1
wine_quality_iter7,5,11.9,0.57,2.6,32.0,3.12,0.78,10.7,0
wine_quality_iter7,6,10.0,0.41,6.2,14.0,3.21,0.49,11.8,1
wine_quality_iter7,7,6.1,0.48,1.7,30.0,3.45,0.54,11.2,0
wine_quality_iter7,8,9.1,0.3,2.0,25.0,3.26,0.84,11.7,1
wine_quality_iter7,9,11.6,0.53,3.65,14.0,3.05,0.74,11.5,1
wine_quality_iter7,10,7.8,0.5,1.9,22.0,3.31,0.56,10.4,0
wine_quality_iter7,11,7.7,0.58,1.8,18.0,3.32,0.56,10.5,1
wine_quality_iter7,12,11.3,0.62,5.2,19.0,3.22,0.69,13.4,1
wine_quality_iter7,13,10.1,0.31,1.6,28.0,3.24,0.83,11.2,1
wine_quality_iter7,14,10.5,0.24,2.1,24.0,3.15,0.9,11.0,1
wine_quality_iter7,15,7.5,0.63,2.0,91.0,3.26,0.58,9.8,0
wine_quality_iter7,16,10.2,0.34,2.1,9.0,3.2,0.69,12.1,1
wine_quality_iter7,17,6.6,0.735,7.9,124.0,3.47,0.53,9.9,0
wine_quality_iter7,18,8.3,0.31,2.4,43.0,3.31,0.77,12.5,1
wine_quality_iter7,19,8.0,0.58,2.0,7.0,3.22,0.58,11.2,0
wine_quality_iter7,20,8.6,0.42,1.8,12.0,3.35,0.69,11.7,1
wine_quality_iter7,21,5.6,0.605,2.4,25.0,3.56,0.55,12.9,0
wine_quality_iter7,22,11.6,0.41,1.5,41.0,3.02,0.76,9.9,1
wine_quality_iter7,23,11.0,0.3,2.1,19.0,3.31,0.88,10.5,1
wine_quality_iter7,24,6.0,0.5,1.4,26.0,3.36,0.45,9.5,0
wine_quality_iter7,25,7.1,0.71,1.9,35.0,3.47,0.55,9.4,0
wine_quality_iter7,26,7.0,0.58,4.8,69.0,3.32,0.7,11.0,0
wine_quality_iter7,27,10.1,0.43,2.6,52.0,3.22,0.64,10.0,1
wine_quality_iter7,28,10.4,0.33,2.8,22.0,3.26,0.74,11.2,1
wine_quality_iter7,29,7.6,0.49,1.9,85.0,3.41,0.58,9.0,0
wine_quality_iter7,30,8.7,0.52,2.5,49.0,3.34,0.86,10.6,1
wine_quality_iter7,31,8.3,0.26,2.0,27.0,3.21,0.8,9.4,0
wine_quality_iter7,32,6.8,0.83,1.8,25.0,3.38,0.45,9.6,0
wine_quality_iter7,33,7.0,0.69,2.5,21.0,3.38,0.6,11.3,0
wine_quality_iter7,34,9.4,0.41,4.6,20.0,3.34,0.79,12.2,1
wine_quality_iter7,35,12.8,0.615,5.8,42.0,3.07,0.73,10.0,1
wine_quality_iter7,36,7.3,0.48,2.1,54.0,3.3,0.65,10.0,1
wine_quality_iter7,37,8.0,0.67,2.0,62.0,3.26,0.56,10.2,0
wine_quality_iter7,38,7.6,0.42,2.7,48.0,3.21,0.59,10.0,0
wine_quality_iter7,39,7.8,0.39,2.0,21.0,3.39,0.66,11.6,0
wine_quality_iter7,40,7.7,0.69,2.7,27.0,3.26,0.61,9.1,0
wine_quality_iter7,41,8.3,0.3,3.8,24.0,3.27,0.64,12.1,1
wine_quality_iter7,42,7.0,0.5,2.0,22.0,3.25,0.63,9.2,0
wine_quality_iter7,43,7.3,0.66,2.0,23.0,3.61,0.96,9.9,0
wine_quality_iter7,44,7.8,0.645,5.5,18.0,3.4,0.55,9.6,0
wine_quality_iter7,45,15.6,0.685,3.7,43.0,2.95,0.68,11.2,1
wine_quality_iter7,46,6.5,0.53,2.0,44.0,3.38,0.83,10.3,0
wine_quality_iter7,47,9.9,0.4,6.7,19.0,3.27,0.82,11.7,1
wine_quality_iter7,48,7.2,0.63,1.9,38.0,3.37,0.58,9.0,0
wine_quality_iter7,49,7.4,0.29,1.7,30.0,3.41,0.53,9.5,0
wine_quality_iter7,50,7.5,0.38,2.6,84.0,3.32,0.7,9.6,0
wine_quality_iter7,51,12.7,0.59,2.3,22.0,3.0,0.7,9.3,0
wine_quality_iter7,52,7.5,0.5,6.1,102.0,3.35,0.8,10.5,0
wine_quality_iter7,53,5.3,0.57,1.7,27.0,3.57,0.84,12.5,1
wine_quality_iter7,54,9.6,0.33,2.2,25.0,3.36,0.76,12.4,1
wine_quality_iter7,55,11.4,0.625,6.2,24.0,3.11,0.99,13.3,0
wine_quality_iter7,56,8.9,0.28,1.7,12.0,3.25,0.55,12.3,1
wine_quality_iter7,57,9.8,0.66,3.2,59.0,3.37,0.71,11.5,1
wine_quality_iter7,58,12.0,0.28,1.9,21.0,2.98,0.66,9.9,1
wine_quality_iter7,59,8.9,0.4,5.6,47.0,3.38,0.77,10.5,1
wine_quality_iter7,60,10.7,0.52,2.6,56.0,3.15,0.79,12.1,1
wine_quality_iter7,61,8.0,0.81,3.4,85.0,3.19,0.42,9.2,0
wine_quality_iter7,62,9.9,0.5,13.8,82.0,3.16,0.75,8.8,0
wine_quality_iter7,63,9.3,0.37,1.6,42.0,3.24,0.81,10.8,1
