appId,instanceId,v0,v1,v2,v3,v4,v5,v6,v7,y
wine_quality_iter8,0,10.5,0.42,2.95,0.1159999999999999,29.0,3.24,0.75,11.7,1
wine_quality_iter8,1,9.3,0.33,1.5,0.057,37.0,3.18,0.89,11.1,1
wine_quality_iter8,2,9.6,0.5,2.8,0.1159999999999999,55.0,3.18,0.68,10.9,0
wine_quality_iter8,3,11.1,0.42,2.65,0.085,34.0,3.24,0.77,12.1,1
wine_quality_iter8,4,8.7,0.41,6.2,0.078,42.0,3.24,0.77,12.6,1
wine_quality_iter8,5,11.9,0.57,2.6,0.0819999999999999,32.0,3.12,0.78,10.7,0
wine_quality_iter8,6,10.0,0.41,6.2,0.071,14.0,3.21,0.49,11.8,1
wine_quality_iter8,7,6.1,0.48,1.7,0.078,30.0,3.45,0.54,11.2,0
wine_quality_iter8,8,9.1,0.3,2.0,0.064,25.0,3.26,0.84,11.7,1
wine_quality_iter8,9,11.6,0.53,3.65,0.121,14.0,3.05,0.74,11.5,1
wine_quality_iter8,10,7.8,0.5,1.9,0.075,22.0,3.31,0.56,10.4,0
wine_quality_iter8,11,7.7,0.58,1.8,0.088,18.0,3.32,0.56,10.5,1
wine_quality_iter8,12,11.3,0.62,5.2,0.086,19.0,3.22,0.69,13.4,1
wine_quality_iter8,13,10.1,0.31,1.6,0.075,28.0,3.24,0.83,11.2,1
wine_quality_iter8,14,10.5,0.24,2.1,0.066,24.0,3.15,0.9,11.0,1
wine_quality_iter8,15,7.5,0.63,2.0,0.083,91.0,3.26,0.58,9.8,0
wine_quality_iter8,16,10.2,0.34,2.1,0.052,9.0,3.2,0.69,12.1,1
wine_quality_iter8,17,6.6,0.735,7.9,0.122,124.0,3.47,0.53,9.9,0
wine_quality_iter8,18,8.3,0.31,2.4,0.078,43.0,3.31,0.77,12.5,1
wine_quality_iter8,19,8.0,0.58,2.0,0.12,7.0,3.22,0.58,11.2,0
wine_quality_iter8,20,8.6,0.42,1.8,0.068,12.0,3.35,0.69,11.7,1
wine_quality_iter8,21,5.6,0.605,2.4,0.073,25.0,3.56,0.55,12.9,0
wine_quality_iter8,22,11.6,0.41,1.5,0.095,41.0,3.02,0.76,9.9,1
wine_quality_iter8,23,11.0,0.3,2.1,0.054,19.0,3.31,0.88,10.5,1
wine_quality_iter8,24,6.0,0.5,1.4,0.057,26.0,3.36,0.45,9.5,0
wine_quality_iter8,25,7.1,0.71,1.9,0.08,35.0,3.47,0.55,9.4,0
wine_quality_iter8,26,7.0,0.58,4.8,0.085,69.0,3.32,0.7,11.0,0
wine_quality_iter8,27,10.1,0.43,2.6,0.092,52.0,3.22,0.64,10.0,1
wine_quality_iter8,28,10.4,0.33,2.8,0.084,22.0,3.26,0.74,11.2,1
wine_quality_iter8,29,7.6,0.49,1.9,0.074,85.0,3.41,0.58,9.0,0
wine_quality_iter8,30,8.7,0.52,2.5,0.091,49.0,3.34,0.86,10.6,1
wine_quality_iter8,31,8.3,0.26,2.0,0.08,27.0,3.21,0.8,9.4,0
wine_quality_iter8,32,6.8,0.83,1.8,0.074,25.0,3.38,0.45,9.6,0
wine_quality_iter8,33,7.0,0.69,2.5,0.091,21.0,3.38,0.6,11.3,0
wine_quality_iter8,34,9.4,0.41,4.6,0.072,20.0,3.34,0.79,12.2,1
wine_quality_iter8,35,12.8,0.615,5.8,0.083,42.0,3.07,0.73,10.0,1
wine_quality_iter8,36,7.3,0.48,2.1,0.062,54.0,3.3,0.65,10.0,1
wine_quality_iter8,37,8.0,0.67,2.0,0.06,62.0,3.26,0.56,10.2,0
wine_quality_iter8,38,7.6,0.42,2.7,0.084,48.0,3.21,0.59,10.0,0
wine_quality_iter8,39,7.8,0.39,2.0,0.086,21.0,3.39,0.66,11.6,0
wine_quality_iter8,40,7.7,0.69,2.7,0.075,27.0,3.26,0.61,9.1,0
wine_quality_iter8,41,8.3,0.3,3.8,0.09,24.0,3.27,0.64,12.1,1
wine_quality_iter8,42,7.0,0.5,2.0,0.07,22.0,3.25,0.63,9.2,0
wine_quality_iter8,43,7.3,0.66,2.0,0.084,23.0,3.61,0.96,9.9,0
wine_quality_iter8,44,7.8,0.645,5.5,0.086,18.0,3.4,0.55,9.6,0
wine_quality_iter8,45,15.6,0.685,3.7,0.1,43.0,2.95,0.68,11.2,1
wine_quality_iter8,46,6.5,0.53,2.0,0.063,44.0,3.38,0.83,10.3,0
