feature_name,feature_index,importance_score,baseline_accuracy,accuracy_without_feature,rank
ASTV,7,0.0,0.803030303030303,0.803030303030303,1
MSTV,8,-0.015151515151515249,0.803030303030303,0.8181818181818182,2
AC,1,-0.015151515151515249,0.803030303030303,0.8181818181818182,3
LB,0,-0.018939393939394034,0.803030303030303,0.821969696969697,4
Min,12,-0.022727272727272818,0.803030303030303,0.8257575757575758,5
UC,3,-0.022727272727272818,0.803030303030303,0.8257575757575758,6
FM,2,-0.026515151515151603,0.803030303030303,0.8295454545454546,7
ALTV,9,-0.037878787878787956,0.803030303030303,0.8409090909090909,8
DP,6,-0.04166666666666674,0.803030303030303,0.8446969696969697,9
Median,18,-0.053030303030303094,0.803030303030303,0.8560606060606061,10
Nzeros,15,-0.05681818181818188,0.803030303030303,0.8598484848484849,11
Mode,16,-0.06439393939393945,0.803030303030303,0.8674242424242424,12
Tendency,20,-0.06439393939393945,0.803030303030303,0.8674242424242424,13
Width,11,-0.07196969696969702,0.803030303030303,0.875,14
DS,5,-0.07196969696969702,0.803030303030303,0.875,15
DL,4,-0.07196969696969702,0.803030303030303,0.875,16
Variance,19,-0.07196969696969702,0.803030303030303,0.875,17
Max,13,-0.0757575757575758,0.803030303030303,0.8787878787878788,18
Nmax,14,-0.07954545454545459,0.803030303030303,0.8825757575757576,19
Mean,17,-0.07954545454545459,0.803030303030303,0.8825757575757576,20
MLTV,10,-0.08333333333333337,0.803030303030303,0.8863636363636364,21
