feature_name,feature_index,importance_score,baseline_accuracy,accuracy_without_feature,rank
Elevation,0,,0.8538011695906432,,1
Aspect,1,,0.8538011695906432,,2
Slope,2,,0.8538011695906432,,3
Horizontal_Distance_To_Hydrology,3,,0.8538011695906432,,4
Vertical_Distance_To_Hydrology,4,,0.8538011695906432,,5
Horizontal_Distance_To_Roadways,5,,0.8538011695906432,,6
Hillshade_9am,6,,0.8538011695906432,,7
Hillshade_Noon,7,,0.8538011695906432,,8
Hillshade_3pm,8,,0.8538011695906432,,9
Horizontal_Distance_To_Fire_Points,9,,0.8538011695906432,,10
Wilderness_Area_0,10,,0.8538011695906432,,11
Wilderness_Area_1,11,,0.8538011695906432,,12
Wilderness_Area_2,12,,0.8538011695906432,,13
Wilderness_Area_3,13,,0.8538011695906432,,14
Soil_Type_0,14,,0.8538011695906432,,15
Soil_Type_1,15,,0.8538011695906432,,16
Soil_Type_2,16,,0.8538011695906432,,17
Soil_Type_3,17,,0.8538011695906432,,18
Soil_Type_4,18,,0.8538011695906432,,19
Soil_Type_5,19,,0.8538011695906432,,20
Soil_Type_6,20,,0.8538011695906432,,21
Soil_Type_7,21,,0.8538011695906432,,22
Soil_Type_8,22,,0.8538011695906432,,23
Soil_Type_9,23,,0.8538011695906432,,24
Soil_Type_10,24,,0.8538011695906432,,25
Soil_Type_11,25,,0.8538011695906432,,26
Soil_Type_12,26,,0.8538011695906432,,27
Soil_Type_13,27,,0.8538011695906432,,28
Soil_Type_14,28,,0.8538011695906432,,29
Soil_Type_15,29,,0.8538011695906432,,30
Soil_Type_16,30,,0.8538011695906432,,31
Soil_Type_17,31,,0.8538011695906432,,32
Soil_Type_18,32,,0.8538011695906432,,33
Soil_Type_19,33,,0.8538011695906432,,34
Soil_Type_20,34,,0.8538011695906432,,35
Soil_Type_21,35,,0.8538011695906432,,36
Soil_Type_22,36,,0.8538011695906432,,37
Soil_Type_23,37,,0.8538011695906432,,38
Soil_Type_24,38,,0.8538011695906432,,39
Soil_Type_25,39,,0.8538011695906432,,40
Soil_Type_26,40,,0.8538011695906432,,41
Soil_Type_27,41,,0.8538011695906432,,42
Soil_Type_28,42,,0.8538011695906432,,43
Soil_Type_29,43,,0.8538011695906432,,44
Soil_Type_30,44,,0.8538011695906432,,45
Soil_Type_31,45,,0.8538011695906432,,46
Soil_Type_32,46,,0.8538011695906432,,47
Soil_Type_33,47,,0.8538011695906432,,48
Soil_Type_34,48,,0.8538011695906432,,49
Soil_Type_35,49,,0.8538011695906432,,50
Soil_Type_36,50,,0.8538011695906432,,51
Soil_Type_37,51,,0.8538011695906432,,52
Soil_Type_38,52,,0.8538011695906432,,53
Soil_Type_39,53,,0.8538011695906432,,54
