feature_name,feature_index,importance_score,baseline_accuracy,accuracy_without_feature,rank
ST Depress,9,0.038961038961038974,0.7402597402597403,0.7012987012987013,1
Sex,1,0.012987012987012991,0.7402597402597403,0.7272727272727273,2
Stress Test,12,0.012987012987012991,0.7402597402597403,0.7272727272727273,3
Max HR,7,-0.012987012987012991,0.7402597402597403,0.7532467532467533,4
Chest Pain,2,-0.025974025974025983,0.7402597402597403,0.7662337662337663,5
ST Slope,10,-0.025974025974025983,0.7402597402597403,0.7662337662337663,6
Cholesterol,4,-0.038961038961038974,0.7402597402597403,0.7792207792207793,7
age,0,-0.051948051948051965,0.7402597402597403,0.7922077922077922,8
Resting BP,3,-0.051948051948051965,0.7402597402597403,0.7922077922077922,9
fbs,5,-0.051948051948051965,0.7402597402597403,0.7922077922077922,10
restecg,6,-0.051948051948051965,0.7402597402597403,0.7922077922077922,11
Colored Vessels,11,-0.051948051948051965,0.7402597402597403,0.7922077922077922,12
exang,8,-0.06493506493506496,0.7402597402597403,0.8051948051948052,13
