feature_name,feature_index,importance_score,baseline_accuracy,accuracy_without_feature,rank
Latitude,14,0.057419980601358,0.8494665373423861,0.7920465567410281,1
Grade,9,0.03608147429679931,0.8494665373423861,0.8133850630455868,2
view,7,0.024054316197866243,0.8494665373423861,0.8254122211445198,3
Longitude,15,0.01862269641125125,0.8494665373423861,0.8308438409311348,4
id,0,0.015130940834141682,0.8494665373423861,0.8343355965082444,5
sqft_lot15,17,0.014354995150339556,0.8494665373423861,0.8351115421920465,6
bathrooms,2,0.01357904946653743,0.8494665373423861,0.8358874878758487,7
Living Room Sqft,16,0.00562560620756547,0.8494665373423861,0.8438409311348206,8
yr_built,12,0.005431619786614994,0.8494665373423861,0.8440349175557711,9
bedrooms,1,0.004655674102812868,0.8494665373423861,0.8448108632395732,10
sqft_lot,4,0.0007759456838022372,0.8494665373423861,0.8486905916585838,11
waterfront,6,0.00019398642095058705,0.8494665373423861,0.8492725509214355,12
Above Sqft,10,0.0,0.8494665373423861,0.8494665373423861,13
sqft_basement,11,-0.0005819592628515391,0.8494665373423861,0.8500484966052376,14
floors,5,-0.0032977691561589806,0.8494665373423861,0.8527643064985451,15
condition,8,-0.0036857419980600437,0.8494665373423861,0.8531522793404461,16
sqft_living,3,-0.004267701260911694,0.8494665373423861,0.8537342386032978,17
yr_renovated,13,-0.014936954413190984,0.8494665373423861,0.8644034917555771,18
