feature_name,feature_index,importance_score,baseline_accuracy,accuracy_without_feature,rank
gill-color,5,0.023661879895561455,0.9869451697127938,0.9632832898172323,1
Gill Spacing,4,0.012238903394255929,0.9869451697127938,0.9747062663185379,2
Ring,9,0.008159268929503916,0.9869451697127938,0.9787859007832899,3
stem-color,8,0.007832898172323799,0.9869451697127938,0.97911227154047,4
Bruises,3,0.007669712793733741,0.9869451697127938,0.97927545691906,5
Height,6,0.007343342036553624,0.9869451697127938,0.9796018276762402,6
cap-color,2,0.00669060052219328,0.9869451697127938,0.9802545691906005,7
Cap Diameter,0,0.006527415143603221,0.9869451697127938,0.9804177545691906,8
season,11,0.002937336814621494,0.9869451697127938,0.9840078328981723,9
habitat,10,0.0017950391644908636,0.9869451697127938,0.9851501305483029,10
Width,7,0.0008159268929504027,0.9869451697127938,0.9861292428198434,11
Shape,1,0.0003263707571802277,0.9869451697127938,0.9866187989556136,12
