feature_name,feature_index,importance_score,baseline_accuracy,accuracy_without_feature,rank
Alcohol,10,0.0811505662826766,0.7295081967213115,,1
citric acid,2,0.056661140738119155,0.7295081967213115,,2
Vinegar Taint,1,0.048444951574218166,0.7295081967213115,,3
chlorides,4,0.04464513380288099,0.7295081967213115,,4
Sulphates,9,0.04370315540399287,0.7295081967213115,,5
pH,8,0.036740127051932366,0.7295081967213115,,6
density,7,0.03378470941643019,0.7295081967213115,,7
residual sugar,3,0.017958799732764062,0.7295081967213115,,8
SO2,6,0.0162336246041496,0.7295081967213115,,9
free sulfur dioxide,5,0.013290822565835409,0.7295081967213115,,10
fixed acidity,0,0.009367464676278399,0.7295081967213115,,11
