appId,model,variant,fidelity,intercept,coef_a0,coef_a1,coef_a2,coef_a3,coef_a4,C,nnz,k,coef_a2=0,coef_a2=1,coef_a4=0,coef_a4=1,coef_a1=0,coef_a1=1,coef_a5,coef_a0=0,coef_a0=1,coef_a3=0,coef_a3=1,coef_a5=0,coef_a5=1,kept_groups
adult,xgboost,dense,0.9583333333333334,-9.259321101754262,2.640357830836163,7.22426702378803,,11.910570662307826,,,,,-3.820089893362305,3.763382656248369,-0.3557119628154643,0.2990047257014733,,,,,,,,,,
adult,xgboost,l1,0.8833333333333333,0.0419381946717403,0.0,0.0,,0.0,,0.001,2.0,,-1.0359473420164416,1.0654086153744728,0.0,0.0,,,,,,,,,,
adult,xgboost,l1_sparse_k3,0.8833333333333333,0.0419381946717403,0.0,0.0,,0.0,,0.001,,3.0,-1.0359473420164416,1.0654086153744728,0.0,0.0,,,,,,,,,,
mushrooms,mlp,l1_sparse_k3,0.4833333333333333,0.1535907869509519,0.0,,,0.0,0.0,0.001,,3.0,0.0,0.0,,,0.0,0.0,,,,,,,,
forest_cover,xgboost,dense,0.85,-1.264990691023688,-7.921550308781455,0.6409881113645621,-1.837029697456503,-1.1542717471151656,2.65478871025735,,,,,,,,,,6.161671917463328,,,,,,,
forest_cover,xgboost,sparse,0.8416666666666667,-0.189090458077367,-2.423207530643485,0.0,0.0,-0.2248834460708961,0.0,0.0109260086111737,,3.0,,,,,,,1.812198288781744,,,,,,,
wine_quality,mlp,dense,0.975,-0.2857510526047521,1.6256073062982073,0.7684260340756378,-0.4278124234569031,-1.1723748169290218,-0.335614772577978,,,,,,,,,,-0.3970652395768828,,,,,,,
wine_quality,mlp,sparse,0.955,-1.7250259905854235,5.000081224414007,2.240191053810276,,-4.308890609329269,,0.2126112333899656,,3.0,,,,,,,,,,,,,,"[""a0"", ""a3"", ""a1""]"
mushrooms,mlp,dense,0.8475,-1.5513320256614245,,3.552888700614347,-4.895550896463685,,2.526630519845668,,,,,,,,,,,1.4686748200788884,-1.4681970916467764,-0.4870988318178501,0.48757656024995677,0.0005256844073329767,-4.795597522340173e-05,
mushrooms,mlp,sparse,0.845,-0.9704619708182715,,8.563700482281435,-13.876548351131722,,7.660685929871172,0.040128070319427764,,3.0,,,,,,,,,,,,,,"[""a2"", ""a1"", ""a4""]"
