Participant Id,Condition,Model,AppId,Complexity,Phase,Trial Index,Instance Id,XAIType,Tested w/ XAI,Time,Log(time),Response,AI prediction,DT prediction,LR prediction,Explainer prediction,Response==AI,Response==DT,Response==LR,Confidence in AI prediction,Response==Explainer,Changed feature index,Changed feature name,Changed feature type,Changed from,Changed to,Changed amount,DT prediction (CF),LR prediction (CF),Changed prediction (DT),Changed prediction (LR),Changed explainer,Condition:Complexity,Mean(Response==Explainer),Mean(Changed explainer),Random,Changed cf direction,Trial index > 10,Column 41
684a12ce6791bc422c72abbb,DT,mlp,wine_quality,high,forward,1,351,DT,w/o XAI,41.651,3.729325378,100,0,0,0,0,0,0,0,-100,0,,,,,,,,,,,,DT:high,0.425,0.17948718,1,,0,
684a12ce6791bc422c72abbb,DT,mlp,wine_quality,high,forward,2,374,DT,w/o XAI,12.688,2.540656665,100,0,0,0,0,0,0,0,-100,0,,,,,,,,,,,,DT:high,0.425,0.17948718,1,,0,
684a12ce6791bc422c72abbb,DT,mlp,wine_quality,high,forward,3,128,DT,w/ XAI,16.478,2.802026158,-100,1,1,1,1,0,0,0,-100,0,,,,,,,,,,,,DT:high,0.425,0.17948718,1,,0,
684a12ce6791bc422c72abbb,DT,mlp,wine_quality,high,forward,4,157,DT,w/ XAI,9.921,2.294653723,-100,1,1,1,1,0,0,0,-100,0,,,,,,,,,,,,DT:high,0.425,0.17948718,1,,0,
684a12ce6791bc422c72abbb,DT,mlp,wine_quality,high,forward,5,162,DT,w/o XAI,15.025,2.70971548,100,0,0,0,0,0,0,0,-100,0,,,,,,,,,,,,DT:high,0.425,0.17948718,1,,0,
684a12ce6791bc422c72abbb,DT,mlp,wine_quality,high,forward,6,192,DT,w/ XAI,5.91,1.776645831,100,1,1,1,1,1,1,1,100,1,,,,,,,,,,,,DT:high,0.425,0.17948718,1,,0,
684a12ce6791bc422c72abbb,DT,mlp,wine_quality,high,forward,7,45,DT,w/o XAI,5.203,1.649235382,-100,1,0,1,0,0,1,0,100,1,,,,,,,,,,,,DT:high,0.425,0.17948718,1,,0,
684a12ce6791bc422c72abbb,DT,mlp,wine_quality,high,forward,8,147,DT,w/o XAI,6.064,1.802369648,-100,0,1,1,1,1,0,0,-100,0,,,,,,,,,,,,DT:high,0.425,0.17948718,1,,0,
684a12ce6791bc422c72abbb,DT,mlp,wine_quality,high,forward,9,175,DT,w/o XAI,5.042,1.617802829,100,1,1,1,1,1,1,1,100,1,,,,,,,,,,,,DT:high,0.425,0.17948718,1,,0,
684a12ce6791bc422c72abbb,DT,mlp,wine_quality,high,forward,10,80,DT,w/ XAI,4.548,1.514687576,100,0,0,0,0,0,0,0,-100,0,,,,,,,,,,,,DT:high,0.425,0.17948718,1,,0,
684a12ce6791bc422c72abbb,DT,mlp,wine_quality,high,forward,11,52,DT,w/o XAI,12.661,2.538526403,-100,1,1,1,1,0,0,0,-100,0,,,,,,,,,,,,DT:high,0.425,0.17948718,1,,1,
684a12ce6791bc422c72abbb,DT,mlp,wine_quality,high,forward,12,115,DT,w/ XAI,5.841,1.764902015,-100,1,1,1,1,0,0,0,-100,0,,,,,,,,,,,,DT:high,0.425,0.17948718,1,,1,
684a12ce6791bc422c72abbb,DT,mlp,wine_quality,high,forward,13,26,DT,w/o XAI,5.454,1.696349284,-80,1,1,1,1,0,0,0,-80,0,,,,,,,,,,,,DT:high,0.425,0.17948718,1,,1,
684a12ce6791bc422c72abbb,DT,mlp,wine_quality,high,forward,14,215,DT,w/ XAI,5.653,1.732186378,-100,1,1,1,1,0,0,0,-100,0,,,,,,,,,,,,DT:high,0.425,0.17948718,1,,1,
684a12ce6791bc422c72abbb,DT,mlp,wine_quality,high,forward,15,294,DT,w/o XAI,6.371,1.851756443,-100,0,0,0,0,1,1,1,100,1,,,,,,,,,,,,DT:high,0.425,0.17948718,1,,1,
684a12ce6791bc422c72abbb,DT,mlp,wine_quality,high,forward,16,83,DT,w/o XAI,4.794,1.567365136,-100,0,0,0,0,1,1,1,100,1,,,,,,,,,,,,DT:high,0.425,0.17948718,1,,1,
684a12ce6791bc422c72abbb,DT,mlp,wine_quality,high,forward,17,232,DT,w/ XAI,5.179,1.644611987,100,1,1,1,1,1,1,1,100,1,,,,,,,,,,,,DT:high,0.425,0.17948718,1,,1,
684a12ce6791bc422c72abbb,DT,mlp,wine_quality,high,forward,18,123,DT,w/ XAI,4.482,1.500069375,100,1,1,1,1,1,1,1,100,1,,,,,,,,,,,,DT:high,0.425,0.17948718,1,,1,
684a12ce6791bc422c72abbb,DT,mlp,wine_quality,high,forward,19,332,DT,w/ XAI,7.649,2.03457492,100,1,1,1,1,1,1,1,100,1,,,,,,,,,,,,DT:high,0.425,0.17948718,1,,1,
684a12ce6791bc422c72abbb,DT,mlp,wine_quality,high,forward,20,109,DT,w/o XAI,5.045,1.618397654,-100,0,0,0,0,1,1,1,100,1,,,,,,,,,,,,DT:high,0.425,0.17948718,1,,1,
684a12ce6791bc422c72abbb,DT,mlp,wine_quality,high,forward,21,16,DT,w/o XAI,4.771,1.562555927,-100,0,0,0,0,1,1,1,100,1,,,,,,,,,,,,DT:high,0.425,0.17948718,1,,1,
684a12ce6791bc422c72abbb,DT,mlp,wine_quality,high,forward,22,168,DT,w/ XAI,4.538,1.512486386,100,0,0,0,0,0,0,0,-100,0,,,,,,,,,,,,DT:high,0.425,0.17948718,1,,1,
684a12ce6791bc422c72abbb,DT,mlp,wine_quality,high,forward,23,203,DT,w/ XAI,4.483,1.500292465,100,0,0,0,0,0,0,0,-100,0,,,,,,,,,,,,DT:high,0.425,0.17948718,1,,1,
684a12ce6791bc422c72abbb,DT,mlp,wine_quality,high,forward,24,366,DT,w/ XAI,5.491,1.703110388,100,0,0,0,0,0,0,0,-100,0,,,,,,,,,,,,DT:high,0.425,0.17948718,1,,1,
684a12ce6791bc422c72abbb,DT,mlp,wine_quality,high,forward,25,213,DT,w/ XAI,4.979,1.605229068,100,0,0,0,0,0,0,0,-100,0,,,,,,,,,,,,DT:high,0.425,0.17948718,1,,1,
684a12ce6791bc422c72abbb,DT,mlp,wine_quality,high,forward,26,187,DT,w/ XAI,5.404,1.68713942,100,1,1,1,1,1,1,1,100,1,,,,,,,,,,,,DT:high,0.425,0.17948718,1,,1,
684a12ce6791bc422c72abbb,DT,mlp,wine_quality,high,forward,27,378,DT,w/ XAI,4.502,1.504521743,100,0,0,0,0,0,0,0,-100,0,,,,,,,,,,,,DT:high,0.425,0.17948718,1,,1,
684a12ce6791bc422c72abbb,DT,mlp,wine_quality,high,forward,28,126,DT,w/ XAI,3.844,1.346513491,100,0,0,0,0,0,0,0,-100,0,,,,,,,,,,,,DT:high,0.425,0.17948718,1,,1,
684a12ce6791bc422c72abbb,DT,mlp,wine_quality,high,forward,29,339,DT,w/ XAI,6.443,1.86299427,-100,0,0,0,0,1,1,1,100,1,,,,,,,,,,,,DT:high,0.425,0.17948718,1,,1,
684a12ce6791bc422c72abbb,DT,mlp,wine_quality,high,forward,30,253,DT,w/o XAI,5.11,1.631199404,-100,0,0,0,0,1,1,1,100,1,,,,,,,,,,,,DT:high,0.425,0.17948718,1,,1,
684a12ce6791bc422c72abbb,DT,mlp,wine_quality,high,forward,31,369,DT,w/ XAI,5.334,1.674101426,100,1,1,1,1,1,1,1,100,1,,,,,,,,,,,,DT:high,0.425,0.17948718,1,,1,
684a12ce6791bc422c72abbb,DT,mlp,wine_quality,high,forward,32,23,DT,w/ XAI,4.975,1.604425371,100,0,0,0,0,0,0,0,-100,0,,,,,,,,,,,,DT:high,0.425,0.17948718,1,,1,
684a12ce6791bc422c72abbb,DT,mlp,wine_quality,high,forward,33,95,DT,w/ XAI,7.212,1.975746305,-100,1,1,1,1,0,0,0,-100,0,,,,,,,,,,,,DT:high,0.425,0.17948718,1,,1,
684a12ce6791bc422c72abbb,DT,mlp,wine_quality,high,forward,34,284,DT,w/o XAI,6.81,1.91839212,-100,0,0,0,0,1,1,1,100,1,,,,,,,,,,,,DT:high,0.425,0.17948718,1,,1,
684a12ce6791bc422c72abbb,DT,mlp,wine_quality,high,forward,35,274,DT,w/ XAI,5.266,1.661271061,100,0,0,0,0,0,0,0,-100,0,,,,,,,,,,,,DT:high,0.425,0.17948718,1,,1,
684a12ce6791bc422c72abbb,DT,mlp,wine_quality,high,forward,36,347,DT,w/ XAI,4.677,1.542656879,80,1,0,1,0,1,0,1,-80,0,,,,,,,,,,,,DT:high,0.425,0.17948718,1,,1,
684a12ce6791bc422c72abbb,DT,mlp,wine_quality,high,forward,37,237,DT,w/o XAI,6.149,1.816289467,-60,1,1,1,1,0,0,0,-60,0,,,,,,,,,,,,DT:high,0.425,0.17948718,1,,1,
684a12ce6791bc422c72abbb,DT,mlp,wine_quality,high,forward,38,354,DT,w/o XAI,6.449,1.86392508,-100,1,1,1,1,0,0,0,-100,0,,,,,,,,,,,,DT:high,0.425,0.17948718,1,,1,
684a12ce6791bc422c72abbb,DT,mlp,wine_quality,high,forward,39,47,DT,w/o XAI,5.401,1.686584122,-100,1,0,1,0,0,1,0,100,1,,,,,,,,,,,,DT:high,0.425,0.17948718,1,,1,
684a12ce6791bc422c72abbb,DT,mlp,wine_quality,high,forward,40,267,DT,w/ XAI,4.156,1.424553073,100,1,1,1,1,1,1,1,100,1,,,,,,,,,,,,DT:high,0.425,0.17948718,1,,1,
684a12ce6791bc422c72abbb,DT,mlp,wine_quality,high,counterfactual,1,121,DT,w/ XAI,35.822,3.57856223,,1,1,1,1,,,,,,,,,,,,,,,,,DT:high,0.425,0.17948718,1,,0,
684a12ce6791bc422c72abbb,DT,mlp,wine_quality,high,counterfactual,2,386,DT,w/o XAI,12.333,2.512278597,,0,0,0,0,,,,,,0,Alcohol,numeric,9.5,11,1.5,1,1,1,1,1,DT:high,0.425,0.17948718,1,1,0,
684a12ce6791bc422c72abbb,DT,mlp,wine_quality,high,counterfactual,3,103,DT,w/o XAI,23.279,3.147551667,,0,0,0,0,,,,,,2,SO2,numeric,110,59,-51,0,0,0,0,0,DT:high,0.425,0.17948718,1,1,0,
684a12ce6791bc422c72abbb,DT,mlp,wine_quality,high,counterfactual,4,91,DT,w/o XAI,9.757,2.277984976,,1,1,1,1,,,,,,5,Chlorides,numeric,0.063,0.16,0.097,1,1,0,0,0,DT:high,0.425,0.17948718,1,1,0,
