Participant Id,Condition,Model,AppId,Complexity,Phase,Trial Index,Instance Id,XAIType,Tested w/ XAI,Time,Log(time),Response,AI prediction,DT prediction,LR prediction,Explainer prediction,Response==AI,Response==DT,Response==LR,Response==Explainer,Changed feature index,Changed feature name,Changed feature type,Changed from,Changed to,Changed amount,Changed amount (normalized),Absolute changed amount (normalized),DT prediction (CF),LR prediction (CF),AI prediction (CF),Changed prediction (DT),Changed prediction (LR),Changed explainer,Changed AI prediction,AI distance to boundary,Condition:Complexity,Factor Recall Accuracy,DT Overall Recall Accuracy,Combined Failure,Mean(Response==AI),Mean(changed AI prediction),Median time,Time and Performance < 20th percentile,Time < k percentile
684a12ce6791bc422c72abbb,DT,mlp,wine_quality,high,forward,1,351,DT,w/o XAI,41.651,3.7293253779,100,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,0.46564543,DT:high,,0.0714285714,False,0.425,0.8461538462,7.251,1,0
684a12ce6791bc422c72abbb,DT,mlp,wine_quality,high,forward,2,374,DT,w/o XAI,12.688,2.5406566649,100,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,0.47660476,DT:high,,0.0714285714,False,0.425,0.8461538462,7.251,1,0
684a12ce6791bc422c72abbb,DT,mlp,wine_quality,high,forward,3,128,DT,w/ XAI,16.478,2.8020261579,-100,1,1,1,1,0,0,0,0,,,,,,,,,,,,,,,,0.4514572,DT:high,,0.0714285714,False,0.425,0.8461538462,7.251,1,0
684a12ce6791bc422c72abbb,DT,mlp,wine_quality,high,forward,4,157,DT,w/ XAI,9.921,2.2946537227,-100,1,1,1,1,0,0,0,0,,,,,,,,,,,,,,,,0.457381,DT:high,,0.0714285714,False,0.425,0.8461538462,7.251,1,0
684a12ce6791bc422c72abbb,DT,mlp,wine_quality,high,forward,5,162,DT,w/o XAI,15.025,2.7097154804,100,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,0.43594456,DT:high,,0.0714285714,False,0.425,0.8461538462,7.251,1,0
684a12ce6791bc422c72abbb,DT,mlp,wine_quality,high,forward,6,192,DT,w/ XAI,5.91,1.7766458314,100,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,0.43952423,DT:high,,0.0714285714,False,0.425,0.8461538462,7.251,1,0
684a12ce6791bc422c72abbb,DT,mlp,wine_quality,high,forward,7,45,DT,w/o XAI,5.203,1.6492353823,-100,1,0,1,0,0,1,0,1,,,,,,,,,,,,,,,,0.15032274,DT:high,,0.0714285714,False,0.425,0.8461538462,7.251,1,0
684a12ce6791bc422c72abbb,DT,mlp,wine_quality,high,forward,8,147,DT,w/o XAI,6.064,1.8023696483,-100,0,1,1,1,1,0,0,0,,,,,,,,,,,,,,,,0.49010056,DT:high,,0.0714285714,False,0.425,0.8461538462,7.251,1,0
684a12ce6791bc422c72abbb,DT,mlp,wine_quality,high,forward,9,175,DT,w/o XAI,5.042,1.6178028288,100,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,0.30809593,DT:high,,0.0714285714,False,0.425,0.8461538462,7.251,1,0
684a12ce6791bc422c72abbb,DT,mlp,wine_quality,high,forward,10,80,DT,w/ XAI,4.548,1.5146875759,100,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,0.17104846,DT:high,,0.0714285714,False,0.425,0.8461538462,7.251,1,0
684a12ce6791bc422c72abbb,DT,mlp,wine_quality,high,forward,11,52,DT,w/o XAI,12.661,2.5385264025,-100,1,1,1,1,0,0,0,0,,,,,,,,,,,,,,,,0.48988461,DT:high,,0.0714285714,False,0.425,0.8461538462,7.251,1,0
