Participant Id,AppId,Model,Complexity,Variant,total,respNLL,timeMAE,T_enc,T_op,latency_factor,lapse,retrieval_threshold,ddm_a,ddm_s,compute_sf,objective,optimizer,n_evals
62952581eac36937c58074eb,wine_quality,mlp,low,sparse,29.808,29.120,3.439,1.376,2.000,1.000,0.050,-2.000,1.500,1.500,2,28.551,GP(skopt),50
6743424be7ffabc75610b8a7,wine_quality,mlp,high,sparse,18.935,16.736,10.992,0.863,2.000,1.000,0.050,0.187,1.079,0.249,2,18.948,GP(skopt),50
675f6c486a6a6ae2ce6847b1,wine_quality,mlp,high,sparse,27.201,26.185,5.082,1.306,2.000,1.000,0.050,-0.570,1.003,0.584,2,26.365,GP(skopt),50
667b2ec03ac02b5cabd8bfd8,wine_quality,mlp,high,sparse,27.849,26.959,4.449,0.500,2.000,1.000,0.050,1.500,1.014,0.791,2,27.527,GP(skopt),50
5fa1d163e5f865369dd23d70,wine_quality,mlp,high,sparse,21.349,17.233,20.580,0.500,2.000,1.000,0.050,-1.398,1.205,0.343,2,19.623,GP(skopt),50
674f558d9765fc4eddb03092,wine_quality,mlp,low,sparse,28.779,28.496,1.414,0.500,2.000,1.000,0.050,0.143,1.000,1.385,2,28.498,GP(skopt),50
67dfade9822d327646479dd9,wine_quality,mlp,high,sparse,30.008,29.036,4.859,1.482,2.000,1.000,0.050,1.500,1.052,1.342,2,28.308,GP(skopt),50
66676132d9fab1ab64aef693,wine_quality,mlp,low,sparse,26.893,26.308,2.922,1.317,2.000,1.000,0.050,-0.333,1.029,1.039,2,25.976,GP(skopt),50
67eda92ff014b05ef5504c8a,wine_quality,mlp,high,sparse,29.124,28.641,2.416,0.500,2.000,1.000,0.050,1.500,1.000,1.381,2,27.679,GP(skopt),50
670639c708977ff6472b55cd,wine_quality,mlp,low,sparse,8.532,7.092,7.197,0.500,2.000,1.000,0.050,-1.333,1.000,0.238,2,7.675,GP(skopt),50
677c428b0a18d643be2e9cb7,wine_quality,mlp,high,sparse,27.495,26.348,5.732,1.574,2.000,1.000,0.050,-0.598,1.048,0.699,2,25.460,GP(skopt),50
