Participant Id,AppId,Model,Complexity,Variant,Strategy,total,respNLL,timeMAE,T_enc,T_op,latency_factor,lapse,retrieval_threshold,ddm_a,ddm_s,compute_sf,objective,optimizer,n_evals
66df251d3fd3a3037d2987d2,wine_quality,mlp,high,dense,calculation,21.929,18.960,14.841,0.614,2.000,1.000,0.050,-0.450,1.500,0.531,2,21.389,GP(skopt),50
66df251d3fd3a3037d2987d2,wine_quality,mlp,high,dense,heuristic,20.777,18.887,9.446,1.060,2.000,1.000,0.050,-0.413,1.500,0.200,2,17.148,GP(skopt),50
66c4cd8fe64a9fe553dceb02,wine_quality,mlp,high,dense,calculation,22.199,15.418,33.905,0.743,2.000,1.000,0.050,-1.087,1.389,0.200,2,20.915,GP(skopt),50
66c4cd8fe64a9fe553dceb02,wine_quality,mlp,high,dense,heuristic,19.482,16.541,14.706,2.226,2.000,1.000,0.050,-1.429,1.396,0.840,2,18.495,GP(skopt),50
66881fbe723bc57d75a2c268,wine_quality,mlp,high,dense,calculation,18.996,16.195,14.005,0.509,2.000,1.000,0.050,-1.122,1.500,0.386,2,18.936,GP(skopt),50
66881fbe723bc57d75a2c268,wine_quality,mlp,high,dense,heuristic,18.164,16.791,6.865,1.115,2.000,1.000,0.050,-0.804,1.500,0.507,2,17.361,GP(skopt),50
67a512649c0c090e741461df,wine_quality,mlp,high,dense,calculation,28.586,27.451,5.674,0.500,2.000,1.000,0.050,1.500,1.500,1.168,2,28.192,GP(skopt),50
67a512649c0c090e741461df,wine_quality,mlp,high,dense,heuristic,21.472,20.034,7.187,1.503,2.000,1.000,0.050,-0.480,1.458,1.024,2,20.866,GP(skopt),50
6536a9f9ac4d61b9d34f5b3b,wine_quality,mlp,high,dense,calculation,26.845,23.430,17.072,0.500,2.000,1.000,0.050,-2.000,1.000,0.540,2,26.457,GP(skopt),50
6536a9f9ac4d61b9d34f5b3b,wine_quality,mlp,high,dense,heuristic,28.974,27.612,6.813,0.500,2.000,1.000,0.050,-2.000,1.000,1.500,2,28.526,GP(skopt),50
6743de7c5d4870f0b6095e0f,wine_quality,mlp,low,sparse,calculation,28.901,28.184,3.587,0.500,2.000,1.000,0.050,-1.057,1.000,1.480,2,28.769,GP(skopt),50
6743de7c5d4870f0b6095e0f,wine_quality,mlp,low,sparse,heuristic,30.845,29.972,4.362,3.000,2.000,1.000,0.050,0.825,1.052,1.500,2,31.214,GP(skopt),50
5fdbedde559f431020032d8d,wine_quality,mlp,low,sparse,calculation,28.355,27.930,2.124,0.500,2.000,1.000,0.050,-2.000,1.000,1.500,2,28.414,GP(skopt),50
5fdbedde559f431020032d8d,wine_quality,mlp,low,sparse,heuristic,29.468,28.882,2.931,3.000,2.000,1.000,0.050,1.500,1.500,1.336,2,26.664,GP(skopt),50
67cedcd74a56e0b60e71cbc7,wine_quality,mlp,low,sparse,calculation,31.512,29.336,10.878,1.994,2.000,1.000,0.050,1.500,1.082,1.500,2,31.074,GP(skopt),50
67cedcd74a56e0b60e71cbc7,wine_quality,mlp,low,sparse,heuristic,26.983,24.708,11.375,2.278,2.000,1.000,0.050,1.500,1.382,1.025,2,26.545,GP(skopt),50
63d79d065189719c8393e3eb,wine_quality,mlp,high,dense,calculation,19.025,14.287,23.690,0.500,2.000,1.000,0.050,-2.000,1.500,0.449,2,18.969,GP(skopt),50
63d79d065189719c8393e3eb,wine_quality,mlp,high,dense,heuristic,20.378,18.862,7.583,1.652,2.000,1.000,0.050,-0.778,1.373,0.789,2,19.248,GP(skopt),50
67f0470dc52f142ca66823c8,wine_quality,mlp,low,sparse,calculation,23.066,22.230,4.183,0.685,2.000,1.000,0.050,-1.339,1.180,0.576,2,22.614,GP(skopt),50
67f0470dc52f142ca66823c8,wine_quality,mlp,low,sparse,heuristic,20.788,19.956,4.159,1.824,2.000,1.000,0.050,-0.634,1.352,0.620,2,19.241,GP(skopt),50
677f6f8ab8362a15598d29af,wine_quality,mlp,low,sparse,calculation,27.549,26.682,4.335,0.500,2.000,1.000,0.050,-0.669,1.079,0.907,2,27.327,GP(skopt),50
677f6f8ab8362a15598d29af,wine_quality,mlp,low,sparse,heuristic,22.761,22.455,1.531,0.614,2.000,1.000,0.050,-0.431,1.091,0.587,2,22.388,GP(skopt),50
675b0f9fd2c385f95b734773,wine_quality,mlp,low,sparse,calculation,29.088,27.744,6.719,0.500,2.000,1.000,0.050,-2.000,1.000,1.101,2,28.787,GP(skopt),50
675b0f9fd2c385f95b734773,wine_quality,mlp,low,sparse,heuristic,25.435,24.062,6.865,0.500,2.000,1.000,0.050,-1.481,1.064,0.200,2,20.037,GP(skopt),50
67df171707f571cd70116c94,wine_quality,mlp,low,sparse,calculation,28.918,28.298,3.102,0.500,2.000,1.000,0.050,1.500,1.000,1.500,2,28.733,GP(skopt),50
67df171707f571cd70116c94,wine_quality,mlp,low,sparse,heuristic,26.584,26.167,2.085,1.337,2.000,1.000,0.050,1.267,1.487,0.200,2,24.667,GP(skopt),50
677c72baf34be54a8e7b903e,wine_quality,mlp,high,dense,calculation,26.563,25.171,6.959,0.500,2.000,1.000,0.050,1.391,1.500,0.776,2,26.173,GP(skopt),50
677c72baf34be54a8e7b903e,wine_quality,mlp,high,dense,heuristic,17.917,17.307,3.050,0.601,2.000,1.000,0.050,0.289,1.040,0.200,2,17.912,GP(skopt),50
6667857039e0002ee5bb270e,wine_quality,mlp,low,sparse,calculation,28.459,27.476,4.912,0.500,2.000,1.000,0.050,1.500,1.500,1.500,2,28.459,GP(skopt),50
6667857039e0002ee5bb270e,wine_quality,mlp,low,sparse,heuristic,24.099,23.759,1.702,0.675,2.000,1.000,0.050,-0.381,1.102,0.960,2,22.590,GP(skopt),50
63cdba9e0c27bf2817c222d0,wine_quality,mlp,high,dense,calculation,27.728,25.578,10.751,0.627,2.000,1.000,0.050,-1.836,1.500,0.844,2,27.705,GP(skopt),50
63cdba9e0c27bf2817c222d0,wine_quality,mlp,high,dense,heuristic,25.859,23.240,13.094,2.269,2.000,1.000,0.050,-1.685,1.291,0.297,2,23.719,GP(skopt),50
614deec82f82c126feeddf3d,wine_quality,mlp,low,sparse,calculation,21.746,20.068,8.395,0.624,2.000,1.000,0.050,-2.000,1.000,0.506,2,21.284,GP(skopt),50
614deec82f82c126feeddf3d,wine_quality,mlp,low,sparse,heuristic,18.616,18.064,2.761,0.805,2.000,1.000,0.050,-0.213,1.500,0.371,2,16.757,GP(skopt),50
5dddadeaeb3973d20b3a4fcb,wine_quality,mlp,high,dense,calculation,27.887,23.686,21.007,0.500,2.000,1.000,0.050,-0.087,1.500,0.657,2,27.445,GP(skopt),50
5dddadeaeb3973d20b3a4fcb,wine_quality,mlp,high,dense,heuristic,24.083,23.281,4.011,0.500,2.000,1.000,0.050,0.371,1.000,0.866,2,23.751,GP(skopt),50
63f809102d5b3a98cb923306,wine_quality,mlp,low,sparse,calculation,28.458,27.474,4.920,0.830,2.000,1.000,0.050,1.412,1.000,0.844,2,27.415,GP(skopt),50
63f809102d5b3a98cb923306,wine_quality,mlp,low,sparse,heuristic,22.036,21.732,1.523,0.525,2.000,1.000,0.050,1.056,1.182,0.731,2,20.261,GP(skopt),50
6706d5a01d37c5c960b2032d,wine_quality,mlp,high,dense,calculation,26.605,24.203,12.008,0.604,2.000,1.000,0.050,-1.000,1.000,0.488,2,26.036,GP(skopt),50
6706d5a01d37c5c960b2032d,wine_quality,mlp,high,dense,heuristic,25.571,24.479,5.457,1.897,2.000,1.000,0.050,-1.595,1.457,1.013,2,24.515,GP(skopt),50
6811ffcdbe04a28e7b3ab8a9,wine_quality,mlp,high,dense,calculation,26.731,25.316,7.074,0.500,2.000,1.000,0.050,1.459,1.500,0.769,2,26.645,GP(skopt),50
6811ffcdbe04a28e7b3ab8a9,wine_quality,mlp,high,dense,heuristic,25.371,24.523,4.239,0.864,2.000,1.000,0.050,-0.349,1.013,1.121,2,23.525,GP(skopt),50
