trial_index,ai_label,ground_truth,ai_agrees,response,is_correct,response_time_s,presented_at_s,feat_age,feat_income_k,feat_credit_score,feat_employment_years,feat_loan_amount_k,feat_debt_ratio,xai_xai_age,xai_xai_income_k,xai_xai_credit_score,xai_xai_employment_years,xai_xai_loan_amount_k,xai_xai_debt_ratio
6,Rejected,Rejected,True,,False,3.309,0.0,42,71,699,19,68,0.4,-0.0088,-0.056,0.1195,0.0148,-0.0735,-0.0861
2,Rejected,Rejected,True,,False,0.613,3.732,25,56,543,17,22,0.22,-0.0711,-0.2032,-0.2423,0.0832,0.0411,0.0965
10,Rejected,Rejected,True,,False,0.436,4.77,22,90,613,8,41,0.05,-0.0162,-0.0081,-0.0844,0.1106,0.0186,0.2019
0,Rejected,Rejected,True,,False,0.332,5.635,42,149,597,12,11,0.09,0.0072,0.2866,-0.1924,0.0215,0.0663,0.1654
11,Rejected,Rejected,True,,False,0.352,6.397,61,111,547,14,76,0.29,-0.0202,0.0704,-0.1835,-0.0676,-0.1479,0.0051
4,Rejected,Rejected,True,,False,0.313,7.176,51,74,673,7,28,0.47,-0.0512,-0.0676,0.009,0.095,0.065,-0.1054
3,Rejected,Rejected,True,,False,3.345,10.146,62,52,710,3,75,0.48,0.0129,-0.1731,0.0661,0.0263,-0.0878,-0.0908
7,Approved,Approved,True,,False,0.282,13.921,66,67,815,21,62,0.22,-0.0228,-0.0931,0.1653,0.0123,-0.0932,0.0407
8,Approved,Rejected,False,,False,0.211,14.63,25,55,667,4,36,0.29,0.0834,-0.1703,-0.0584,0.0003,0.0022,-0.0036
9,Rejected,Rejected,True,,False,0.049,15.27,49,138,801,8,58,0.64,0.0365,0.233,0.1753,-0.0634,-0.0812,-0.1743
1,Rejected,Rejected,True,,False,0.177,15.748,26,58,566,17,59,0.09,0.0131,-0.1103,-0.1524,0.0366,-0.0917,0.1836
5,Rejected,Rejected,True,,False,0.0,16.366,26,43,782,13,26,0.5,-0.0696,-0.2311,0.1129,0.0536,0.0745,-0.0912
