y,v0,v1,v2,v3,v4,a0,a1,a2,a3,a4
1,0.42,29.0,3.24,0.75,11.7,0.024596734013503900,0.007859594062543770,0.016862152653435900,0.01695369672889900,0.09010002753768980
1,0.33,37.0,3.18,0.89,11.1,0.06454049415026710,0.004531047906822160,0.02976484209203560,0.04763365062001430,0.029338768051029800
0,0.5,55.0,3.18,0.68,10.9,-0.016990980672148500,-0.004880880716328420,0.02447722943547440,-0.0025133765269166500,0.004060947776604900
1,0.42,34.0,3.24,0.77,12.1,0.02410248940094160,0.005810898025639530,0.015504858106947900,0.021716785835914200,0.1284893356063050
1,0.41,42.0,3.24,0.77,12.6,0.026990249881950800,0.0035803410248496900,0.013022123444347800,0.020623173153935400,0.16976794268553800
0,0.57,32.0,3.12,0.78,10.7,-0.055240571348904000,0.006273646320288020,0.0344241288103736,0.023561540601345200,-0.01633931177548870
1,0.41,14.0,3.21,0.49,11.8,0.027642921669743000,0.011224469080185300,0.01552729795376470,-0.059893146476302400,0.0908630534013112
0,0.48,30.0,3.45,0.54,11.2,-0.0038930763065432600,0.008284466218871970,-0.03129946432148030,-0.03172838858209360,0.036120496076077900
1,0.3,25.0,3.26,0.84,11.7,0.07061558364389030,0.007565649785101410,0.012845404661045600,0.03878386691212660,0.09097459185868510
1,0.53,14.0,3.05,0.74,11.5,-0.03293224011953810,0.008201080785156810,0.02432694689203530,0.014188769244803800,0.057827995579021000
0,0.5,22.0,3.31,0.56,10.4,-0.01361432563035910,0.012297673352444800,0.0005029177637054240,-0.028263445789806400,-0.0482024315448525
1,0.58,18.0,3.32,0.56,10.5,-0.05060067596630410,0.013833296781358000,-0.0008982694683930950,-0.026972526612763200,-0.038143403059205900
1,0.62,19.0,3.22,0.69,13.4,-0.06699900099864360,0.007687072432002940,0.004653620958710400,0.001146578683684980,0.22607261504595800
1,0.31,28.0,3.24,0.83,11.2,0.07059508503247520,0.006717185660814610,0.018424968148271300,0.03455400656431150,0.04035657003712960
1,0.24,24.0,3.15,0.9,11.0,0.09649450253408670,0.0057344456876700600,0.03362404139855740,0.04618369272408580,0.018899888992309600
0,0.63,91.0,3.26,0.58,9.8,-0.0741109616080156,-0.025584244606777600,0.007551818901720770,-0.025222746390753800,-0.10408650422994100
1,0.34,9.0,3.2,0.69,12.1,0.05699453992243770,0.010874341669946200,0.021861717719107100,0.0017858250190814200,0.11968102699957600
0,0.735,124.0,3.47,0.53,9.9,-0.10111845737753000,-0.03928092293823370,-0.024124381264241800,-0.032722837437804000,-0.09131301602109880
1,0.31,43.0,3.31,0.77,12.5,0.05791304716506060,0.0018699624112402800,0.0008971382400545790,0.02157051143355860,0.16090382237656000
0,0.58,7.0,3.22,0.58,11.2,-0.057128458632490500,0.01641395936409630,0.010569984021668300,-0.026979486391139300,0.03354257189501550
