trial_index,ai_label,ground_truth,ai_agrees,response,is_correct,response_time_s,presented_at_s,feat_Vinegar Taint,feat_SO2,feat_pH,feat_Sulphates,feat_Alcohol,feat_Others,xai_Vinegar Taint,xai_SO2,xai_pH,xai_Sulphates,xai_Alcohol,xai_Others
0,Type2,,,,False,0.706,0.0,0.44,16.0,3.55,0.39,11.4,6.43,0.0775,-0.0335,0.1186,-0.0575,0.1038,0.0083
1,Type2,,,,False,0.35,1.142,0.54,60.6,3.02,0.52,11.9,14.75,-0.0576,0.0824,-0.0888,-0.0339,0.2188,0.1248
2,Type1,,,,False,0.0,1.918,0.26,13.8,3.21,1.04,9.4,9.52,0.1072,-0.0634,-0.0418,0.0943,-0.3267,0.0553
3,Type1,,,,False,0.0,2.346,0.79,34.2,3.21,0.84,10.9,5.49,-0.1424,-0.0172,-0.03,0.0867,-0.1026,-0.0109
4,Type1,,,,False,0.0,2.774,0.83,25.0,3.88,0.43,10.7,12.03,-0.1547,0.0039,0.2462,-0.0441,-0.0612,0.0775
5,Type1,,,,False,2.247,3.201,0.98,26.7,3.6,0.85,11.6,7.72,-0.2124,-0.0505,0.0613,0.0572,0.1897,0.0316
6,Type1,,,,False,1.197,5.882,0.75,71.5,3.72,0.58,10.6,10.76,-0.0934,0.1276,0.1544,-0.0045,-0.0242,0.0776
7,Type1,,,,False,0.493,7.51,0.25,22.3,3.29,1.09,8.9,7.62,0.0585,-0.0358,0.0218,0.0557,-0.4694,0.0345
8,Type1,,,,False,0.558,8.437,0.47,64.4,3.86,0.46,9.4,4.52,0.0213,0.1261,0.1762,-0.0599,-0.3103,-0.0219
9,Type2,,,,False,0.461,9.427,0.48,43.4,3.85,0.93,11.3,10.03,0.005,0.0342,0.2346,0.0392,0.1164,0.0478
10,Type1,,,,False,0.544,10.317,0.5,32.3,3.0,0.88,8.7,2.16,0.0061,0.0184,-0.1103,0.0658,-0.4831,-0.0576
11,Type2,,,,False,0.567,11.291,0.22,30.0,2.93,1.09,11.8,3.32,0.1535,0.0185,-0.1396,0.1216,0.2495,-0.0658
12,Type1,,,,False,57.924,12.288,0.58,37.9,2.99,0.42,10.3,4.99,-0.0327,0.0133,-0.0356,-0.0468,-0.1762,-0.0161
13,Type2,,,,False,0.73,70.654,0.65,7.8,3.43,1.18,13.2,11.16,-0.0852,-0.0475,0.0712,0.1772,0.4159,0.0739
14,Type2,,,,False,1.6,71.812,0.44,20.7,3.71,1.19,13.2,12.73,0.0603,-0.0577,0.1488,0.1708,0.478,0.1029
15,Type2,,,,False,18.378,73.841,0.15,24.4,3.16,0.93,13.8,7.6,0.3023,-0.0397,-0.0216,0.062,0.6213,0.0311
16,Type2,,,,False,8.102,92.652,0.31,19.5,3.52,1.11,13.1,8.06,0.0634,-0.0609,0.115,0.1374,0.5209,0.0215
17,Type1,,,,False,19.825,101.185,0.86,37.6,3.08,1.02,10.3,12.65,-0.1585,0.0192,-0.1362,0.1347,-0.1579,0.0937
18,Type1,,,,False,1.197,121.43,0.24,16.0,3.8,1.03,9.2,13.02,0.2011,-0.0456,0.1527,0.1256,-0.3914,0.1065
19,Type1,,,,False,0.554,123.056,1.07,48.9,3.43,1.14,10.8,13.67,-0.3008,0.0445,0.0452,0.1475,-0.0408,0.1283
